code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.IDX.399658,LONG,201801031500,4587.21,201801081500,4626.97,1,39.76,68.73,-3.29,39.76,enterlong,exitlong,1,4
SZSE.IDX.399658,SHORT,201801091500,4616.77,201801101500,4629.97,1,-13.2,6.48,-22.68,26.56,entershort,exitshort,5,6
SZSE.IDX.399658,LONG,201801111500,4619.22,201801121500,4642,1,22.78,35.74,-16.36,49.34,enterlong,exitlong,7,8
SZSE.IDX.399658,LONG,201801151500,4624.3,201801161500,4531.47,1,-92.83,6.88,-94.07,-43.49,enterlong,exitlong,9,10
SZSE.IDX.399658,LONG,201801171500,4549.93,201801181500,4520.22,1,-29.71,1.18,-83.73,-73.2,enterlong,exitlong,11,12
SZSE.IDX.399658,LONG,201801191500,4518.65,201801221500,4517.13,1,-1.52,25.96,-14,-74.72,enterlong,exitlong,13,14
SZSE.IDX.399658,LONG,201801231500,4585.3,201801251500,4613.11,1,27.81,38.98,-21.73,-46.91,enterlong,exitlong,15,17
SZSE.IDX.399658,LONG,201801261500,4613.76,201801301500,4517.84,1,-95.92,12.69,-92.71,-142.83,enterlong,exitlong,18,20
SZSE.IDX.399658,LONG,201801311500,4491.52,201802011500,4456.07,1,-35.45,6.59,-47.22,-178.28,enterlong,exitlong,21,22
SZSE.IDX.399658,SHORT,201802021500,4318.09,201802051500,4302.28,1,15.81,66.37,-57.37,-162.47,entershort,exitshort,23,24
SZSE.IDX.399658,LONG,201802061500,4216.79,201802071500,4195.93,1,-20.86,37.55,-95.63,-183.33,enterlong,exitlong,25,26
SZSE.IDX.399658,SHORT,201802081500,4089.37,201802091500,4064.17,1,25.2,2.5,-92.05,-158.13,entershort,exitshort,27,28
SZSE.IDX.399658,LONG,201802121500,4073.71,201802221500,4262.82,1,189.11,173.5,0,30.98,enterlong,exitlong,29,32
SZSE.IDX.399658,LONG,201802231500,4320.46,201802261500,4342.33,1,21.87,12.42,-35.23,52.85,enterlong,exitlong,33,34
