date,closeprofit,positionprofit,dynbalance,fee
20180102,0.00,0.00,0.00,0.00
20180103,0.00,35.34,35.34,0.00
20180104,0.00,34.44,34.44,0.00
20180105,0.00,19.69,19.69,0.00
20180108,19.14,0.00,19.14,0.00
20180109,19.14,-3.05,16.09,0.00
20180110,13.91,0.00,13.91,0.00
20180111,13.91,-21.16,-7.25,0.00
20180112,-4.55,0.00,-4.55,0.00
20180115,-4.55,62.29,57.74,0.00
20180116,-4.55,52.27,47.72,0.00
20180117,50.85,0.00,50.85,0.00
20180118,50.85,-9.36,41.49,0.00
20180119,42.28,0.00,42.28,0.00
20180122,42.28,30.38,72.66,0.00
20180123,71.80,0.00,71.80,0.00
20180124,71.80,28.96,100.76,0.00
20180125,97.10,0.00,97.10,0.00
20180126,97.10,4.39,101.49,0.00
20180129,97.10,-22.63,74.47,0.00
20180130,67.81,0.00,67.81,0.00
20180131,67.81,-33.25,34.56,0.00
20180201,29.45,0.00,29.45,0.00
20180202,29.45,26.40,55.85,0.00
20180205,23.20,0.00,23.20,0.00
20180206,23.20,-73.71,-50.51,0.00
20180207,-8.63,0.00,-8.63,0.00
20180208,-8.63,-27.08,-35.71,0.00
20180209,14.38,0.00,14.38,0.00
20180212,14.38,47.11,61.49,0.00
20180213,14.38,54.60,68.98,0.00
20180214,73.66,0.00,73.66,0.00
20180222,73.66,-29.99,43.67,0.00
20180223,40.16,0.00,40.16,0.00
20180226,40.16,-36.94,3.22,0.00
20180227,6.68,0.00,6.68,0.00
20180228,6.68,0.00,6.68,0.00
20180301,6.68,40.59,47.27,0.00
20180302,6.68,25.29,31.97,0.00
20180305,6.68,30.98,37.66,0.00
20180306,40.99,0.00,40.99,0.00
20180307,40.99,-19.27,21.72,0.00
20180308,19.24,0.00,19.24,0.00
20180309,19.24,37.23,56.47,0.00
20180312,19.24,77.61,96.85,0.00
20180313,19.24,62.06,81.30,0.00
20180314,76.30,0.00,76.30,0.00
20180315,76.30,7.56,83.86,0.00
20180316,83.22,0.00,83.22,0.00
20180319,83.22,3.55,86.77,0.00
20180320,69.82,0.00,69.82,0.00
20180321,69.82,-33.59,36.23,0.00
20180322,39.03,0.00,39.03,0.00
20180323,39.03,-54.12,-15.09,0.00
20180326,-42.45,0.00,-42.45,0.00
20180327,-42.45,35.97,-6.48,0.00
20180328,-42.45,19.56,-22.89,0.00
20180329,-42.45,42.94,0.49,0.00
20180330,-42.45,80.02,37.57,0.00
20180402,-42.45,79.68,37.23,0.00
20180403,0.61,0.00,0.61,0.00
20180404,0.61,-38.26,-37.65,0.00
20180409,-45.05,0.00,-45.05,0.00
20180410,-45.05,10.18,-34.87,0.00
20180411,-28.05,0.00,-28.05,0.00
20180412,-28.05,-18.10,-46.15,0.00
20180413,-32.67,0.00,-32.67,0.00
20180416,-32.67,11.64,-21.03,0.00
20180417,-13.95,0.00,-13.95,0.00
20180418,-13.95,27.31,13.36,0.00
20180419,13.68,0.00,13.68,0.00
20180420,13.68,-30.75,-17.07,0.00
20180423,-10.83,0.00,-10.83,0.00
20180424,-10.83,-53.02,-63.85,0.00
20180425,-49.90,0.00,-49.90,0.00
20180426,-49.90,-43.56,-93.46,0.00
20180427,-85.71,0.00,-85.71,0.00
20180502,-85.71,15.72,-69.99,0.00
20180503,-66.93,0.00,-66.93,0.00
20180504,-66.93,-9.22,-76.15,0.00
20180507,-67.18,0.00,-67.18,0.00
20180508,-67.18,10.39,-56.79,0.00
20180509,-67.18,9.58,-57.60,0.00
20180510,-67.18,14.01,-53.17,0.00
20180511,-51.08,0.00,-51.08,0.00
20180514,-51.08,-9.63,-60.71,0.00
20180515,-55.68,0.00,-55.68,0.00
20180516,-55.68,-6.90,-62.58,0.00
20180517,-60.12,0.00,-60.12,0.00
20180518,-60.12,9.43,-50.69,0.00
20180521,-34.39,0.00,-34.39,0.00
20180522,-34.39,6.11,-28.28,0.00
20180523,-35.96,0.00,-35.96,0.00
20180524,-35.96,6.24,-29.72,0.00
20180525,-27.34,0.00,-27.34,0.00
20180528,-27.34,-13.80,-41.14,0.00
20180529,-39.39,0.00,-39.39,0.00
20180530,-39.39,-33.37,-72.76,0.00
20180531,-56.02,0.00,-56.02,0.00
20180601,-56.02,8.51,-47.51,0.00
20180604,-52.32,0.00,-52.32,0.00
20180605,-52.32,-36.53,-88.85,0.00
20180606,-87.59,0.00,-87.59,0.00
20180607,-87.59,-17.22,-104.81,0.00
20180608,-107.10,0.00,-107.10,0.00
20180611,-107.10,6.36,-100.74,0.00
20180612,-103.53,0.00,-103.53,0.00
20180613,-103.53,-27.92,-131.45,0.00
20180614,-139.12,0.00,-139.12,0.00
20180615,-139.12,-28.19,-167.31,0.00
20180619,-202.62,0.00,-202.62,0.00
20180620,-202.62,-20.58,-223.20,0.00
20180621,-221.86,0.00,-221.86,0.00
20180622,-221.86,-44.16,-266.02,0.00
20180625,-281.02,0.00,-281.02,0.00
20180626,-281.02,-50.02,-331.04,0.00
20180627,-331.61,0.00,-331.61,0.00
20180628,-331.61,-9.99,-341.60,0.00
20180629,-338.00,0.00,-338.00,0.00
20180702,-338.00,-30.78,-368.78,0.00
20180703,-366.12,0.00,-366.12,0.00
20180704,-366.12,-32.60,-398.72,0.00
20180705,-401.65,0.00,-401.65,0.00
20180706,-401.65,7.90,-393.75,0.00
20180709,-387.64,0.00,-387.64,0.00
20180710,-387.64,11.71,-375.93,0.00
20180711,-387.64,-23.14,-410.78,0.00
20180712,-409.95,0.00,-409.95,0.00
20180713,-409.95,1.95,-408.00,0.00
20180716,-410.68,0.00,-410.68,0.00
20180717,-410.68,-6.22,-416.90,0.00
20180718,-410.68,19.36,-391.32,0.00
20180719,-393.16,0.00,-393.16,0.00
20180720,-393.16,27.82,-365.34,0.00
20180723,-371.18,0.00,-371.18,0.00
20180724,-371.18,21.42,-349.76,0.00
20180725,-371.18,20.31,-350.87,0.00
20180726,-371.18,-6.13,-377.31,0.00
20180727,-380.77,0.00,-380.77,0.00
20180730,-380.77,24.74,-356.03,0.00
20180731,-380.77,33.28,-347.49,0.00
20180801,-380.77,59.35,-321.42,0.00
20180802,-313.79,0.00,-313.79,0.00
20180803,-313.79,29.52,-284.27,0.00
20180806,-313.79,61.67,-252.12,0.00
20180807,-259.54,0.00,-259.54,0.00
20180808,-259.54,-27.38,-286.92,0.00
20180809,-288.27,0.00,-288.27,0.00
20180810,-288.27,12.59,-275.68,0.00
20180813,-288.27,30.34,-257.93,0.00
20180814,-288.27,14.81,-273.46,0.00
20180815,-273.12,0.00,-273.12,0.00
20180816,-273.12,-11.81,-284.93,0.00
20180817,-301.70,0.00,-301.70,0.00
20180820,-301.70,-18.72,-320.42,0.00
20180821,-319.27,0.00,-319.27,0.00
20180822,-319.27,-19.52,-338.79,0.00
20180823,-339.21,0.00,-339.21,0.00
20180824,-339.21,-6.61,-345.82,0.00
20180827,-341.74,0.00,-341.74,0.00
20180828,-341.74,4.87,-336.87,0.00
20180829,-341.74,-7.86,-349.60,0.00
20180830,-350.14,0.00,-350.14,0.00
20180831,-350.14,-9.20,-359.34,0.00
20180903,-360.83,0.00,-360.83,0.00
20180904,-360.83,-17.26,-378.09,0.00
20180905,-371.90,0.00,-371.90,0.00
20180906,-371.90,-0.30,-372.20,0.00
20180907,-368.92,0.00,-368.92,0.00
20180910,-368.92,-39.95,-408.87,0.00
20180911,-408.80,0.00,-408.80,0.00
20180912,-408.80,1.00,-407.80,0.00
20180913,-408.80,19.55,-389.25,0.00
20180914,-384.66,0.00,-384.66,0.00
20180917,-384.66,-13.91,-398.57,0.00
20180918,-403.82,0.00,-403.82,0.00
20180919,-403.82,20.26,-383.56,0.00
20180920,-403.82,18.05,-385.77,0.00
20180921,-403.82,46.11,-357.71,0.00
20180925,-369.26,0.00,-369.26,0.00
20180926,-369.26,3.73,-365.53,0.00
20180927,-367.30,0.00,-367.30,0.00
20180928,-367.30,-7.92,-375.22,0.00
20181008,-344.01,0.00,-344.01,0.00
20181009,-344.01,-5.56,-349.57,0.00
20181010,-346.24,0.00,-346.24,0.00
20181011,-346.24,54.68,-291.56,0.00
20181012,-346.24,64.36,-281.88,0.00
20181015,-346.24,86.33,-259.91,0.00
