code,target,sigprice,gentime,usertag
SZSE.IDX.399701,1,7591.66,20180102150000000,enterlong
SZSE.IDX.399701,0,7749.8,20180105150000000,exitlong
SZSE.IDX.399701,1,7817.46,20180108150000000,enterlong
SZSE.IDX.399701,0,7941.21,20180111150000000,exitlong
SZSE.IDX.399701,1,8041.04,20180112150000000,enterlong
SZSE.IDX.399701,0,8146.17,20180117150000000,exitlong
SZSE.IDX.399701,1,8193.77,20180118150000000,enterlong
SZSE.IDX.399701,0,8152.41,20180119150000000,exitlong
SZSE.IDX.399701,1,8353.53,20180122150000000,enterlong
SZSE.IDX.399701,0,8372.27,20180124150000000,exitlong
SZSE.IDX.399701,-1,8310.03,20180125150000000,entershort
SZSE.IDX.399701,0,8344.81,20180126150000000,exitshort
SZSE.IDX.399701,-1,8159.09,20180129150000000,entershort
SZSE.IDX.399701,0,8101.4,20180131150000000,exitshort
SZSE.IDX.399701,-1,7952.22,20180201150000000,entershort
SZSE.IDX.399701,0,8019.89,20180202150000000,exitshort
SZSE.IDX.399701,1,7964.33,20180205150000000,enterlong
SZSE.IDX.399701,0,7692.29,20180206150000000,exitlong
SZSE.IDX.399701,-1,7396.05,20180207150000000,entershort
SZSE.IDX.399701,0,7431.56,20180208150000000,exitshort
SZSE.IDX.399701,-1,7091.55,20180209150000000,entershort
SZSE.IDX.399701,0,7275.43,20180212150000000,exitshort
SZSE.IDX.399701,1,7372.96,20180213150000000,enterlong
SZSE.IDX.399701,0,7669.93,20180223150000000,exitlong
SZSE.IDX.399701,1,7739.87,20180226150000000,enterlong
SZSE.IDX.399701,0,7528.26,20180227150000000,exitlong
SZSE.IDX.399701,1,7502.79,20180228150000000,enterlong
SZSE.IDX.399701,0,7435.76,20180305150000000,exitlong
SZSE.IDX.399701,1,7580.14,20180306150000000,enterlong
SZSE.IDX.399701,0,7502.75,20180307150000000,exitlong
SZSE.IDX.399701,1,7641.92,20180308150000000,enterlong
SZSE.IDX.399701,0,7687.15,20180309150000000,exitlong
SZSE.IDX.399701,-1,7703.7,20180312150000000,entershort
SZSE.IDX.399701,0,7611.18,20180314150000000,exitshort
SZSE.IDX.399701,1,7659.29,20180315150000000,enterlong
SZSE.IDX.399701,0,7580.32,20180316150000000,exitlong
SZSE.IDX.399701,-1,7537.08,20180319150000000,entershort
SZSE.IDX.399701,0,7501.76,20180320150000000,exitshort
SZSE.IDX.399701,1,7472.49,20180321150000000,enterlong
SZSE.IDX.399701,0,7354.84,20180322150000000,exitlong
SZSE.IDX.399701,1,7165.11,20180323150000000,enterlong
SZSE.IDX.399701,0,7075.01,20180326150000000,exitlong
SZSE.IDX.399701,-1,7119.97,20180327150000000,entershort
SZSE.IDX.399701,0,6983.71,20180328150000000,exitshort
SZSE.IDX.399701,1,7199.64,20180329150000000,enterlong
SZSE.IDX.399701,0,7158.69,20180330150000000,exitlong
SZSE.IDX.399701,1,7124.14,20180402150000000,enterlong
SZSE.IDX.399701,0,7030.63,20180409150000000,exitlong
SZSE.IDX.399701,1,7191.65,20180410150000000,enterlong
SZSE.IDX.399701,0,7158.18,20180412150000000,exitlong
SZSE.IDX.399701,-1,7116.94,20180413150000000,entershort
SZSE.IDX.399701,0,7035.87,20180419150000000,exitshort
SZSE.IDX.399701,1,6960.8,20180420150000000,enterlong
SZSE.IDX.399701,0,7002.44,20180423150000000,exitlong
SZSE.IDX.399701,1,7144.99,20180424150000000,enterlong
SZSE.IDX.399701,0,7089.42,20180425150000000,exitlong
SZSE.IDX.399701,1,6866.46,20180426150000000,enterlong
SZSE.IDX.399701,0,6824.4,20180427150000000,exitlong
SZSE.IDX.399701,1,6832.43,20180502150000000,enterlong
SZSE.IDX.399701,0,6913.44,20180503150000000,exitlong
SZSE.IDX.399701,1,6863.5,20180504150000000,enterlong
SZSE.IDX.399701,0,7002.53,20180507150000000,exitlong
SZSE.IDX.399701,1,7108.58,20180508150000000,enterlong
SZSE.IDX.399701,0,7090.17,20180509150000000,exitlong
SZSE.IDX.399701,1,7118.39,20180510150000000,enterlong
SZSE.IDX.399701,0,7067.16,20180511150000000,exitlong
SZSE.IDX.399701,1,7145.05,20180514150000000,enterlong
SZSE.IDX.399701,0,7164.01,20180515150000000,exitlong
SZSE.IDX.399701,1,7104.46,20180516150000000,enterlong
SZSE.IDX.399701,0,7058.99,20180517150000000,exitlong
SZSE.IDX.399701,1,7123.15,20180518150000000,enterlong
SZSE.IDX.399701,0,7125.55,20180521150000000,exitlong
SZSE.IDX.399701,-1,7078.86,20180522150000000,entershort
SZSE.IDX.399701,0,6923.11,20180525150000000,exitshort
SZSE.IDX.399701,1,6998.45,20180528150000000,enterlong
SZSE.IDX.399701,0,6917.1,20180529150000000,exitlong
SZSE.IDX.399701,1,6781.74,20180530150000000,enterlong
SZSE.IDX.399701,0,6923.62,20180601150000000,exitlong
SZSE.IDX.399701,1,7028.58,20180604150000000,enterlong
SZSE.IDX.399701,0,7077.14,20180606150000000,exitlong
SZSE.IDX.399701,1,7072.18,20180607150000000,enterlong
SZSE.IDX.399701,0,6988.94,20180608150000000,exitlong
SZSE.IDX.399701,1,7019.38,20180611150000000,enterlong
SZSE.IDX.399701,0,7133.01,20180612150000000,exitlong
SZSE.IDX.399701,1,7056.74,20180613150000000,enterlong
SZSE.IDX.399701,0,6998.39,20180614150000000,exitlong
SZSE.IDX.399701,1,6974.14,20180615150000000,enterlong
SZSE.IDX.399701,0,6653.51,20180619150000000,exitlong
SZSE.IDX.399701,1,6699.9,20180620150000000,enterlong
SZSE.IDX.399701,0,6643.69,20180621150000000,exitlong
SZSE.IDX.399701,1,6686.04,20180622150000000,enterlong
SZSE.IDX.399701,0,6576.34,20180625150000000,exitlong
SZSE.IDX.399701,1,6508.28,20180626150000000,enterlong
SZSE.IDX.399701,0,6337.64,20180627150000000,exitlong
SZSE.IDX.399701,1,6270.76,20180628150000000,enterlong
SZSE.IDX.399701,0,6235.79,20180702150000000,exitlong
SZSE.IDX.399701,1,6230.89,20180703150000000,enterlong
SZSE.IDX.399701,0,6100.35,20180704150000000,exitlong
SZSE.IDX.399701,1,6038.37,20180705150000000,enterlong
SZSE.IDX.399701,0,6078.87,20180706150000000,exitlong
SZSE.IDX.399701,1,6270.77,20180709150000000,enterlong
SZSE.IDX.399701,0,6281.64,20180710150000000,exitlong
SZSE.IDX.399701,1,6156.38,20180711150000000,enterlong
SZSE.IDX.399701,0,6312.1,20180713150000000,exitlong
SZSE.IDX.399701,1,6288.19,20180716150000000,enterlong
SZSE.IDX.399701,0,6241.46,20180717150000000,exitlong
SZSE.IDX.399701,1,6180.72,20180718150000000,enterlong
SZSE.IDX.399701,0,6190.88,20180719150000000,exitlong
SZSE.IDX.399701,1,6269.17,20180720150000000,enterlong
SZSE.IDX.399701,0,6326.25,20180723150000000,exitlong
SZSE.IDX.399701,1,6465.5,20180724150000000,enterlong
SZSE.IDX.399701,0,6433.78,20180725150000000,exitlong
SZSE.IDX.399701,-1,6375.42,20180726150000000,entershort
SZSE.IDX.399701,0,6324.56,20180730150000000,exitshort
SZSE.IDX.399701,1,6334.65,20180731150000000,enterlong
SZSE.IDX.399701,0,6190.88,20180801150000000,exitlong
