code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SSE.ETF.510300,LONG,201801020940,4070,201801020950,4066.8,1,-3.2,8.2,-8.8,-3.2,enterlong,exitlong,1,3
SSE.ETF.510300,LONG,201801020955,4074.8,201801021010,4067.8,1,-7,7,-9.8,-10.2,enterlong,exitlong,4,7
SSE.ETF.510300,LONG,201801021020,4071.8,201801021100,4085,1,13.2,22,0,3,enterlong,exitlong,9,17
SSE.ETF.510300,LONG,201801021115,4091.6,201801021305,4088.4,1,-3.2,3.6,-6.4,-0.2,enterlong,exitlong,20,24
SSE.ETF.510300,SHORT,201801021355,4090,201801021410,4088.2,1,1.8,4,-1.2,1.6,entershort,exitshort,34,37
SSE.ETF.510300,SHORT,201801021420,4084.8,201801021425,4090.8,1,-6,1.4,-6,-4.4,entershort,exitshort,39,40
SSE.ETF.510300,LONG,201801021430,4092.2,201801030940,4102,1,9.8,15.8,0,5.4,enterlong,exitlong,41,49
SSE.ETF.510300,LONG,201801030945,4097.8,201801031000,4114,1,16.2,17.2,-0.6,21.6,enterlong,exitlong,50,53
SSE.ETF.510300,SHORT,201801031005,4109.4,201801031010,4114,1,-4.6,0,-7,17,entershort,exitshort,54,55
SSE.ETF.510300,LONG,201801031015,4123.8,201801031035,4134.4,1,10.6,14,-1.2,27.6,enterlong,exitlong,56,60
SSE.ETF.510300,LONG,201801031040,4144,201801031115,4139.6,1,-4.4,7,-6.8,23.2,enterlong,exitlong,61,68
SSE.ETF.510300,LONG,201801031125,4147,201801031310,4145,1,-2,6.4,-3.6,21.2,enterlong,exitlong,70,73
SSE.ETF.510300,SHORT,201801031325,4139.4,201801031355,4121.4,1,18,18.8,-4.6,39.2,entershort,exitshort,76,82
SSE.ETF.510300,LONG,201801031400,4125.2,201801031420,4131,1,5.8,6.2,-1.2,45,enterlong,exitlong,83,87
SSE.ETF.510300,LONG,201801031425,4135.4,201801031435,4133,1,-2.4,3.6,-3.4,42.6,enterlong,exitlong,88,90
SSE.ETF.510300,SHORT,201801031440,4128,201801031455,4121.8,1,6.2,11.2,-2.8,48.8,entershort,exitshort,91,94
SSE.ETF.510300,LONG,201801040940,4120.6,201801040945,4123.8,1,3.2,5,-4.8,52,enterlong,exitlong,97,98
SSE.ETF.510300,SHORT,201801040950,4117.4,201801040955,4123.4,1,-6,0.2,-7.2,46,entershort,exitshort,99,100
SSE.ETF.510300,LONG,201801041000,4126.2,201801041005,4121.4,1,-4.8,0,-5,41.2,enterlong,exitlong,101,102
SSE.ETF.510300,SHORT,201801041010,4118.4,201801041015,4121.4,1,-3,1.8,-4,38.2,entershort,exitshort,103,104
SSE.ETF.510300,LONG,201801041020,4125.4,201801041025,4124.8,1,-0.6,0.6,-3.4,37.6,enterlong,exitlong,105,106
SSE.ETF.510300,SHORT,201801041030,4124.4,201801041035,4126.6,1,-2.2,0,-7.2,35.4,entershort,exitshort,107,108
SSE.ETF.510300,SHORT,201801041040,4122,201801041050,4124.8,1,-2.8,1,-4.6,32.6,entershort,exitshort,109,111
SSE.ETF.510300,LONG,201801041100,4128.6,201801041115,4127.4,1,-1.2,4.8,-2.4,31.4,enterlong,exitlong,113,116
SSE.ETF.510300,LONG,201801041120,4130,201801041330,4131.6,1,1.6,10.6,0,33,enterlong,exitlong,117,125
SSE.ETF.510300,SHORT,201801041335,4130,201801041340,4135.2,1,-5.2,1.2,-6.4,27.8,entershort,exitshort,126,127
SSE.ETF.510300,LONG,201801041345,4137.4,201801041350,4138.2,1,0.8,2.6,-2.6,28.6,enterlong,exitlong,128,129
SSE.ETF.510300,LONG,201801041355,4142.2,201801041400,4139.2,1,-3,0.6,-6,25.6,enterlong,exitlong,130,131
SSE.ETF.510300,SHORT,201801041405,4130.2,201801041415,4126,1,4.2,4,-1.8,29.8,entershort,exitshort,132,134
SSE.ETF.510300,LONG,201801041425,4130,201801041435,4128.4,1,-1.6,1.6,-3.2,28.2,enterlong,exitlong,136,138
SSE.ETF.510300,SHORT,201801041440,4126.8,201801041445,4131.8,1,-5,0.2,-5,23.2,entershort,exitshort,139,140
SSE.ETF.510300,LONG,201801050935,4138.4,201801050940,4130.2,1,-8.2,1.4,-10.4,15,enterlong,exitlong,144,145
SSE.ETF.510300,LONG,201801050945,4134.8,201801051000,4136,1,1.2,8.4,-1.6,16.2,enterlong,exitlong,146,149
SSE.ETF.510300,LONG,201801051005,4136.4,201801051010,4133.2,1,-3.2,1.8,-5.2,13,enterlong,exitlong,150,151
SSE.ETF.510300,SHORT,201801051015,4131.6,201801051025,4130,1,1.6,6.4,0,14.6,entershort,exitshort,152,154
SSE.ETF.510300,LONG,201801051030,4132.8,201801051040,4129.2,1,-3.6,4.8,-3.6,11,enterlong,exitlong,155,157
SSE.ETF.510300,LONG,201801051050,4131.2,201801051055,4130,1,-1.2,0,-3.4,9.8,enterlong,exitlong,159,160
SSE.ETF.510300,LONG,201801051100,4138.4,201801051105,4136,1,-2.4,0,-3.4,7.4,enterlong,exitlong,161,162
SSE.ETF.510300,SHORT,201801051110,4136,201801051125,4133.6,1,2.4,6.8,-0.2,9.8,entershort,exitshort,163,166
SSE.ETF.510300,LONG,201801051130,4135,201801051310,4139.2,1,4.2,6.6,-0.6,14,enterlong,exitlong,167,169
SSE.ETF.510300,LONG,201801051315,4141.4,201801051325,4143.4,1,2,5.4,-1.6,16,enterlong,exitlong,170,172
SSE.ETF.510300,LONG,201801051335,4143,201801051340,4139.2,1,-3.8,1.8,-3.8,12.2,enterlong,exitlong,174,175
SSE.ETF.510300,LONG,201801051345,4140.4,201801051355,4138.4,1,-2,3.4,-3.2,10.2,enterlong,exitlong,176,178
SSE.ETF.510300,SHORT,201801051400,4137.6,201801051410,4139.2,1,-1.6,3.6,-2.2,8.6,entershort,exitshort,179,181
SSE.ETF.510300,LONG,201801051420,4141.2,201801051430,4141.2,1,0,5.8,-0.2,8.6,enterlong,exitlong,183,185
SSE.ETF.510300,LONG,201801051435,4144.4,201801051445,4148.4,1,4,12.4,0,12.6,enterlong,exitlong,186,188
SSE.ETF.510300,SHORT,201801051455,4144.4,201801080935,4148,1,-3.6,1.6,-4.6,9,entershort,exitshort,190,192
SSE.ETF.510300,LONG,201801080940,4148.6,201801080945,4144.4,1,-4.2,1,-6.4,4.8,enterlong,exitlong,193,194
SSE.ETF.510300,SHORT,201801080955,4139.2,201801081015,4140.6,1,-1.4,4,-2.6,3.4,entershort,exitshort,196,200
SSE.ETF.510300,LONG,201801081020,4140.6,201801081040,4144.4,1,3.8,9.8,-0.2,7.2,enterlong,exitlong,201,205
SSE.ETF.510300,SHORT,201801081045,4143,201801081050,4147,1,-4,0.6,-5.8,3.2,entershort,exitshort,206,207
SSE.ETF.510300,LONG,201801081055,4155.4,201801081130,4164.8,1,9.4,16.4,0,12.6,enterlong,exitlong,208,215
SSE.ETF.510300,SHORT,201801081305,4162.8,201801081315,4166.4,1,-3.6,2.8,-3.4,9,entershort,exitshort,216,218
SSE.ETF.510300,SHORT,201801081325,4156.2,201801081350,4168.6,1,-12.4,1,-15.4,-3.4,entershort,exitshort,220,225
SSE.ETF.510300,LONG,201801081355,4162,201801081400,4156.2,1,-5.8,0.8,-6.6,-9.2,enterlong,exitlong,226,227
SSE.ETF.510300,LONG,201801081415,4160.8,201801081425,4157,1,-3.8,2.4,-5.6,-13,enterlong,exitlong,230,232
SSE.ETF.510300,LONG,201801081430,4158.2,201801081435,4155.2,1,-3,1.8,-3.2,-16,enterlong,exitlong,233,234
SSE.ETF.510300,LONG,201801081440,4156.8,201801081450,4153.6,1,-3.2,2.6,-6,-19.2,enterlong,exitlong,235,237
SSE.ETF.510300,LONG,201801081455,4161.2,201801090940,4164.4,1,3.2,4.2,-4.2,-16,enterlong,exitlong,238,241
SSE.ETF.510300,LONG,201801090945,4168.8,201801090950,4163,1,-5.8,0.8,-6.6,-21.8,enterlong,exitlong,242,243
SSE.ETF.510300,LONG,201801090955,4163.6,201801091000,4166.8,1,3.2,4.2,-5.2,-18.6,enterlong,exitlong,244,245
SSE.ETF.510300,LONG,201801091005,4168.4,201801091030,4172,1,3.6,9,-1,-15,enterlong,exitlong,246,251
SSE.ETF.510300,SHORT,201801091035,4170.8,201801091050,4173.8,1,-3,4.4,-4,-18,entershort,exitshort,252,255
SSE.ETF.510300,LONG,201801091055,4177,201801091100,4174,1,-3,0,-5.6,-21,enterlong,exitlong,256,257
SSE.ETF.510300,LONG,201801091105,4178.2,201801091110,4177.2,1,-1,1.6,-2.8,-22,enterlong,exitlong,258,259
SSE.ETF.510300,LONG,201801091115,4182.6,201801091120,4180.2,1,-2.4,0.8,-3.4,-24.4,enterlong,exitlong,260,261
SSE.ETF.510300,SHORT,201801091125,4179.2,201801091305,4181,1,-1.8,2.2,-2.4,-26.2,entershort,exitshort,262,264
SSE.ETF.510300,SHORT,201801091310,4178.4,201801091330,4179,1,-0.6,6.6,-2,-26.8,entershort,exitshort,265,269
SSE.ETF.510300,LONG,201801091335,4184.8,201801091340,4183.2,1,-1.6,0.8,-2.8,-28.4,enterlong,exitlong,270,271
SSE.ETF.510300,SHORT,201801091350,4182.6,201801091355,4185,1,-2.4,3.4,-3,-30.8,entershort,exitshort,273,274
SSE.ETF.510300,LONG,201801091400,4182.2,201801091415,4178.2,1,-4,2.8,-4.2,-34.8,enterlong,exitlong,275,278
SSE.ETF.510300,SHORT,201801091420,4177.8,201801091425,4180.2,1,-2.4,2.4,-2.8,-37.2,entershort,exitshort,279,280
SSE.ETF.510300,LONG,201801091430,4180.6,201801091445,4192.2,1,11.6,12,-1,-25.6,enterlong,exitlong,281,284
SSE.ETF.510300,LONG,201801091450,4192.2,201801091455,4194,1,1.8,3,-2.6,-23.8,enterlong,exitlong,285,286
SSE.ETF.510300,LONG,201801100935,4196.8,201801100940,4191.8,1,-5,1.6,-5.8,-28.8,enterlong,exitlong,288,289
SSE.ETF.510300,LONG,201801100945,4192.4,201801100950,4187.2,1,-5.2,1,-7,-34,enterlong,exitlong,290,291
