date,closeprofit,positionprofit,dynbalance,fee
20180102,-4.40,11.80,7.40,0.00
20180103,48.80,0.00,48.80,0.00
20180104,23.20,0.00,23.20,0.00
20180105,12.60,-3.80,8.80,0.00
20180108,-19.20,2.60,-16.60,0.00
20180109,-23.80,0.00,-23.80,0.00
20180110,-50.00,5.60,-44.40,0.00
20180111,-82.60,-0.60,-83.20,0.00
20180112,-65.80,0.00,-65.80,0.00
20180115,-70.00,17.80,-52.20,0.00
20180116,-54.40,22.60,-31.80,0.00
20180117,-34.00,1.60,-32.40,0.00
20180118,-72.60,5.00,-67.60,0.00
20180119,-77.60,0.00,-77.60,0.00
20180122,-75.60,7.20,-68.40,0.00
20180123,-18.60,12.60,-6.00,0.00
20180124,-4.20,-1.20,-5.40,0.00
20180125,21.20,2.00,23.20,0.00
20180126,11.60,0.00,11.60,0.00
20180129,20.60,0.00,20.60,0.00
20180130,-35.20,3.80,-31.40,0.00
20180131,-6.00,-1.20,-7.20,0.00
20180201,-56.40,0.00,-56.40,0.00
20180202,-42.40,0.00,-42.40,0.00
20180205,-69.20,0.00,-69.20,0.00
20180206,-30.20,1.80,-28.40,0.00
20180207,-51.00,60.60,9.60,0.00
20180208,5.60,3.20,8.80,0.00
20180209,141.20,0.00,141.20,0.00
20180212,120.40,13.80,134.20,0.00
20180213,58.40,0.00,58.40,0.00
20180214,51.00,0.00,51.00,0.00
20180222,49.80,0.80,50.60,0.00
20180223,35.60,0.00,35.60,0.00
20180226,11.20,0.00,11.20,0.00
20180227,-43.00,2.40,-40.60,0.00
20180228,-43.20,22.20,-21.00,0.00
20180301,-48.60,0.60,-48.00,0.00
20180302,-62.00,0.00,-62.00,0.00
20180305,-59.40,0.00,-59.40,0.00
20180306,-44.20,0.00,-44.20,0.00
20180307,-38.20,25.60,-12.60,0.00
20180308,-35.20,8.20,-27.00,0.00
20180309,-30.00,0.00,-30.00,0.00
20180312,-41.40,4.00,-37.40,0.00
20180313,-80.80,5.60,-75.20,0.00
20180314,-85.80,9.00,-76.80,0.00
20180315,-78.60,7.20,-71.40,0.00
20180316,-100.00,39.20,-60.80,0.00
20180319,-66.20,1.20,-65.00,0.00
20180320,-81.00,0.00,-81.00,0.00
20180321,-106.80,-1.80,-108.60,0.00
20180322,-74.80,0.00,-74.80,0.00
20180323,-86.00,22.40,-63.60,0.00
20180326,-80.20,3.00,-77.20,0.00
20180327,-59.60,19.40,-40.20,0.00
20180328,-50.40,0.00,-50.40,0.00
20180329,-53.40,63.60,10.20,0.00
20180330,-1.80,2.60,0.80,0.00
20180402,32.60,14.60,47.20,0.00
20180403,22.60,0.00,22.60,0.00
20180404,18.80,1.80,20.60,0.00
20180409,-64.20,14.00,-50.20,0.00
20180410,-8.20,8.20,-0.00,0.00
20180411,-10.80,-0.20,-11.00,0.00
20180412,-5.20,0.00,-5.20,0.00
20180413,-5.20,0.00,-5.20,0.00
20180416,-36.80,-5.00,-41.80,0.00
20180417,-63.80,8.80,-55.00,0.00
20180418,-86.40,0.00,-86.40,0.00
20180419,-122.20,4.60,-117.60,0.00
20180420,-139.80,0.00,-139.80,0.00
20180423,-111.60,0.00,-111.60,0.00
20180424,-81.00,2.60,-78.40,0.00
20180425,-132.20,3.80,-128.40,0.00
20180426,-122.20,0.00,-122.20,0.00
20180427,-123.20,2.80,-120.40,0.00
20180502,-129.20,13.00,-116.20,0.00
20180503,-164.80,0.00,-164.80,0.00
20180504,-195.60,0.00,-195.60,0.00
20180507,-156.20,0.00,-156.20,0.00
20180508,-148.00,0.00,-148.00,0.00
20180509,-161.40,2.20,-159.20,0.00
20180510,-154.20,9.80,-144.40,0.00
20180511,-159.20,0.00,-159.20,0.00
20180514,-185.40,7.80,-177.60,0.00
20180515,-208.00,2.40,-205.60,0.00
20180516,-231.60,0.00,-231.60,0.00
20180517,-242.60,2.80,-239.80,0.00
20180518,-216.00,0.00,-216.00,0.00
20180521,-205.80,0.00,-205.80,0.00
20180522,-202.80,-1.00,-203.80,0.00
20180523,-191.40,0.00,-191.40,0.00
20180524,-216.80,-1.40,-218.20,0.00
20180525,-233.20,1.60,-231.60,0.00
20180528,-252.80,8.00,-244.80,0.00
20180529,-261.20,6.00,-255.20,0.00
20180530,-215.60,29.40,-186.20,0.00
20180531,-178.60,0.00,-178.60,0.00
20180601,-180.80,5.80,-175.00,0.00
20180604,-186.80,-3.00,-189.80,0.00
20180605,-193.80,0.00,-193.80,0.00
20180606,-192.60,-2.80,-195.40,0.00
20180607,-231.20,-6.20,-237.40,0.00
20180608,-198.00,8.40,-189.60,0.00
20180611,-187.60,0.00,-187.60,0.00
20180612,-192.40,0.00,-192.40,0.00
20180613,-220.20,0.00,-220.20,0.00
20180614,-235.20,2.60,-232.60,0.00
20180615,-269.80,-6.40,-276.20,0.00
20180619,-169.40,-0.20,-169.60,0.00
20180620,-185.20,0.00,-185.20,0.00
20180621,-162.00,-1.60,-163.60,0.00
20180622,-157.20,0.00,-157.20,0.00
20180625,-176.00,14.00,-162.00,0.00
20180626,-143.00,0.00,-143.00,0.00
20180627,-133.20,21.20,-112.00,0.00
20180628,-141.40,-0.60,-142.00,0.00
20180629,-74.60,0.00,-74.60,0.00
20180702,-42.20,2.60,-39.60,0.00
20180703,9.40,-9.00,0.40,0.00
20180704,-15.00,0.00,-15.00,0.00
20180705,40.60,0.00,40.60,0.00
20180706,59.40,22.20,81.60,0.00
20180709,35.00,56.60,91.60,0.00
20180710,74.40,13.40,87.80,0.00
20180711,16.80,-3.60,13.20,0.00
20180712,71.80,5.80,77.60,0.00
20180713,45.40,0.00,45.40,0.00
20180716,32.80,5.00,37.80,0.00
20180717,15.40,1.00,16.40,0.00
20180718,-10.80,0.00,-10.80,0.00
20180719,-14.80,4.60,-10.20,0.00
20180720,66.20,0.00,66.20,0.00
20180723,90.60,2.40,93.00,0.00
20180724,81.40,-1.60,79.80,0.00
20180725,67.20,0.00,67.20,0.00
20180726,47.60,0.00,47.60,0.00
20180727,44.40,-2.20,42.20,0.00
20180730,31.00,0.00,31.00,0.00
20180731,59.40,0.00,59.40,0.00
20180801,152.00,-4.40,147.60,0.00
20180802,235.40,5.20,240.60,0.00
20180803,171.20,32.00,203.20,0.00
20180806,157.80,0.00,157.80,0.00
20180807,145.80,0.00,145.80,0.00
20180808,140.00,10.00,150.00,0.00
20180809,168.00,4.60,172.60,0.00
20180810,156.20,2.20,158.40,0.00
20180813,66.60,1.60,68.20,0.00
20180814,72.20,-2.20,70.00,0.00
20180815,134.00,2.00,136.00,0.00
20180816,84.00,0.00,84.00,0.00
20180817,40.60,-2.00,38.60,0.00
20180820,14.80,4.00,18.80,0.00
20180821,60.40,4.00,64.40,0.00
20180822,52.60,9.20,61.80,0.00
20180823,-38.20,7.80,-30.40,0.00
20180824,32.20,0.00,32.20,0.00
20180827,37.00,-9.60,27.40,0.00
20180828,20.40,2.40,22.80,0.00
20180829,-11.60,2.00,-9.60,0.00
20180830,-25.60,0.00,-25.60,0.00
20180831,-28.00,0.00,-28.00,0.00
20180903,-26.40,-7.00,-33.40,0.00
20180904,-25.20,15.40,-9.80,0.00
