date,code,volume,closeprofit,dynprofit
20180102,SSE.ETF.510300,1,-4.40,11.80
20180105,SSE.ETF.510300,-1,12.60,-3.80
20180108,SSE.ETF.510300,1,-19.20,2.60
20180110,SSE.ETF.510300,1,-50.00,5.60
20180111,SSE.ETF.510300,1,-82.60,-0.60
20180115,SSE.ETF.510300,-1,-70.00,17.80
20180116,SSE.ETF.510300,1,-54.40,22.60
20180117,SSE.ETF.510300,-1,-34.00,1.60
20180118,SSE.ETF.510300,1,-72.60,5.00
20180122,SSE.ETF.510300,1,-75.60,7.20
20180123,SSE.ETF.510300,1,-18.60,12.60
20180124,SSE.ETF.510300,-1,-4.20,-1.20
20180125,SSE.ETF.510300,-1,21.20,2.00
20180130,SSE.ETF.510300,-1,-35.20,3.80
20180131,SSE.ETF.510300,-1,-6.00,-1.20
20180206,SSE.ETF.510300,-1,-30.20,1.80
20180207,SSE.ETF.510300,-1,-51.00,60.60
20180208,SSE.ETF.510300,-1,5.60,3.20
20180212,SSE.ETF.510300,-1,120.40,13.80
20180222,SSE.ETF.510300,-1,49.80,0.80
20180227,SSE.ETF.510300,-1,-43.00,2.40
20180228,SSE.ETF.510300,-1,-43.20,22.20
20180301,SSE.ETF.510300,-1,-48.60,0.60
20180307,SSE.ETF.510300,-1,-38.20,25.60
20180308,SSE.ETF.510300,1,-35.20,8.20
20180312,SSE.ETF.510300,-1,-41.40,4.00
20180313,SSE.ETF.510300,-1,-80.80,5.60
20180314,SSE.ETF.510300,-1,-85.80,9.00
20180315,SSE.ETF.510300,1,-78.60,7.20
20180316,SSE.ETF.510300,-1,-100.00,39.20
20180319,SSE.ETF.510300,1,-66.20,1.20
20180321,SSE.ETF.510300,-1,-106.80,-1.80
20180323,SSE.ETF.510300,1,-86.00,22.40
20180326,SSE.ETF.510300,1,-80.20,3.00
20180327,SSE.ETF.510300,1,-59.60,19.40
20180329,SSE.ETF.510300,1,-53.40,63.60
20180330,SSE.ETF.510300,-1,-1.80,2.60
20180402,SSE.ETF.510300,-1,32.60,14.60
20180404,SSE.ETF.510300,-1,18.80,1.80
20180409,SSE.ETF.510300,1,-64.20,14.00
20180410,SSE.ETF.510300,1,-8.20,8.20
20180411,SSE.ETF.510300,-1,-10.80,-0.20
20180416,SSE.ETF.510300,1,-36.80,-5.00
20180417,SSE.ETF.510300,-1,-63.80,8.80
20180419,SSE.ETF.510300,1,-122.20,4.60
20180424,SSE.ETF.510300,1,-81.00,2.60
20180425,SSE.ETF.510300,1,-132.20,3.80
20180427,SSE.ETF.510300,-1,-123.20,2.80
20180502,SSE.ETF.510300,1,-129.20,13.00
20180507,SSE.ETF.510300,1,-156.20,0.00
20180509,SSE.ETF.510300,1,-161.40,2.20
20180510,SSE.ETF.510300,1,-154.20,9.80
20180514,SSE.ETF.510300,1,-185.40,7.80
20180515,SSE.ETF.510300,1,-208.00,2.40
20180517,SSE.ETF.510300,-1,-242.60,2.80
20180522,SSE.ETF.510300,-1,-202.80,-1.00
20180524,SSE.ETF.510300,-1,-216.80,-1.40
20180525,SSE.ETF.510300,-1,-233.20,1.60
20180528,SSE.ETF.510300,1,-252.80,8.00
20180529,SSE.ETF.510300,-1,-261.20,6.00
20180530,SSE.ETF.510300,-1,-215.60,29.40
20180601,SSE.ETF.510300,1,-180.80,5.80
20180604,SSE.ETF.510300,-1,-186.80,-3.00
20180606,SSE.ETF.510300,-1,-192.60,-2.80
20180607,SSE.ETF.510300,-1,-231.20,-6.20
20180608,SSE.ETF.510300,1,-198.00,8.40
20180614,SSE.ETF.510300,-1,-235.20,2.60
20180615,SSE.ETF.510300,-1,-269.80,-6.40
20180619,SSE.ETF.510300,1,-169.40,-0.20
20180621,SSE.ETF.510300,-1,-162.00,-1.60
20180625,SSE.ETF.510300,-1,-176.00,14.00
20180627,SSE.ETF.510300,-1,-133.20,21.20
20180628,SSE.ETF.510300,1,-141.40,-0.60
20180702,SSE.ETF.510300,1,-42.20,2.60
20180703,SSE.ETF.510300,-1,9.40,-9.00
20180706,SSE.ETF.510300,-1,59.40,22.20
20180709,SSE.ETF.510300,1,35.00,56.60
20180710,SSE.ETF.510300,1,74.40,13.40
20180711,SSE.ETF.510300,1,16.80,-3.60
20180712,SSE.ETF.510300,-1,71.80,5.80
20180716,SSE.ETF.510300,1,32.80,5.00
20180717,SSE.ETF.510300,1,15.40,1.00
20180719,SSE.ETF.510300,1,-14.80,4.60
20180723,SSE.ETF.510300,-1,90.60,2.40
20180724,SSE.ETF.510300,-1,81.40,-1.60
20180727,SSE.ETF.510300,-1,44.40,-2.20
20180801,SSE.ETF.510300,-1,152.00,-4.40
20180802,SSE.ETF.510300,1,235.40,5.20
20180803,SSE.ETF.510300,-1,171.20,32.00
20180808,SSE.ETF.510300,1,140.00,10.00
20180809,SSE.ETF.510300,-1,168.00,4.60
20180810,SSE.ETF.510300,1,156.20,2.20
20180813,SSE.ETF.510300,1,66.60,1.60
20180814,SSE.ETF.510300,-1,72.20,-2.20
20180815,SSE.ETF.510300,-1,134.00,2.00
20180817,SSE.ETF.510300,-1,40.60,-2.00
20180820,SSE.ETF.510300,1,14.80,4.00
20180821,SSE.ETF.510300,-1,60.40,4.00
20180822,SSE.ETF.510300,1,52.60,9.20
20180823,SSE.ETF.510300,-1,-38.20,7.80
20180827,SSE.ETF.510300,-1,37.00,-9.60
20180828,SSE.ETF.510300,1,20.40,2.40
20180829,SSE.ETF.510300,1,-11.60,2.00
20180903,SSE.ETF.510300,1,-26.40,-7.00
20180904,SSE.ETF.510300,1,-25.20,15.40
20180905,SSE.ETF.510300,-1,-44.40,4.80
20180912,SSE.ETF.510300,1,-13.20,-5.40
20180914,SSE.ETF.510300,-1,-6.60,-0.40
20180919,SSE.ETF.510300,-1,55.60,15.40
20180921,SSE.ETF.510300,1,86.40,52.20
20180925,SSE.ETF.510300,1,61.20,2.40
20180926,SSE.ETF.510300,1,122.00,2.00
20180928,SSE.ETF.510300,1,101.40,3.80
20181008,SSE.ETF.510300,-1,47.20,10.40
20181009,SSE.ETF.510300,1,-8.40,4.00
20181010,SSE.ETF.510300,1,20.00,5.20
20181017,SSE.ETF.510300,-1,-120.60,3.80
20181018,SSE.ETF.510300,-1,-135.60,6.40
20181019,SSE.ETF.510300,1,-71.80,-13.00
20181022,SSE.ETF.510300,-1,42.40,-8.20
20181023,SSE.ETF.510300,1,49.40,4.20
20181025,SSE.ETF.510300,-1,12.80,-10.60
20181026,SSE.ETF.510300,1,-32.80,18.00
20181029,SSE.ETF.510300,1,-64.20,0.00
20181030,SSE.ETF.510300,-1,-77.60,-1.60
20181031,SSE.ETF.510300,1,-97.60,1.00
20181106,SSE.ETF.510300,1,-224.60,-2.80
20181107,SSE.ETF.510300,-1,-243.80,1.60
20181108,SSE.ETF.510300,-1,-288.00,9.40
20181109,SSE.ETF.510300,-1,-251.40,4.60
20181112,SSE.ETF.510300,1,-272.20,-7.40
20181115,SSE.ETF.510300,1,-225.80,-0.40
20181116,SSE.ETF.510300,-1,-206.20,5.60
20181119,SSE.ETF.510300,1,-247.40,3.20
20181120,SSE.ETF.510300,1,-287.40,3.80
20181121,SSE.ETF.510300,1,-328.00,-1.60
20181122,SSE.ETF.510300,-1,-322.60,0.20
20181126,SSE.ETF.510300,-1,-283.00,-4.60
20181127,SSE.ETF.510300,1,-318.20,6.00
20181203,SSE.ETF.510300,1,-242.80,-2.20
20181204,SSE.ETF.510300,1,-242.20,-3.00
20181205,SSE.ETF.510300,-1,-269.00,4.40
20181206,SSE.ETF.510300,-1,-248.20,-1.40
20181210,SSE.ETF.510300,-1,-288.80,-0.60
20181211,SSE.ETF.510300,1,-297.80,6.80
20181212,SSE.ETF.510300,-1,-292.60,1.60
20181213,SSE.ETF.510300,-1,-272.60,-0.60
20181214,SSE.ETF.510300,-1,-246.60,1.80
