code,target,sigprice,gentime,usertag
SSE.ETF.510300,1,4070,20180102093500000,enterlong
SSE.ETF.510300,0,4066.4,20180102094500000,exitlong
SSE.ETF.510300,1,4074.8,20180102095000000,enterlong
SSE.ETF.510300,0,4069.2,20180102100500000,exitlong
SSE.ETF.510300,1,4072,20180102101500000,enterlong
SSE.ETF.510300,0,4084.8,20180102105500000,exitlong
SSE.ETF.510300,1,4091.6,20180102111000000,enterlong
SSE.ETF.510300,0,4086.8,20180102113000000,exitlong
SSE.ETF.510300,-1,4090.2,20180102135000000,entershort
SSE.ETF.510300,0,4088.8,20180102140500000,exitshort
SSE.ETF.510300,-1,4085.2,20180102141500000,entershort
SSE.ETF.510300,0,4090.8,20180102142000000,exitshort
SSE.ETF.510300,1,4092.6,20180102142500000,enterlong
SSE.ETF.510300,0,4102,20180103093500000,exitlong
SSE.ETF.510300,1,4098,20180103094000000,enterlong
SSE.ETF.510300,0,4115,20180103095500000,exitlong
SSE.ETF.510300,-1,4110.6,20180103100000000,entershort
SSE.ETF.510300,0,4113.8,20180103100500000,exitshort
SSE.ETF.510300,1,4123.6,20180103101000000,enterlong
SSE.ETF.510300,0,4134.2,20180103103000000,exitlong
SSE.ETF.510300,1,4144.8,20180103103500000,enterlong
SSE.ETF.510300,0,4139.6,20180103111000000,exitlong
SSE.ETF.510300,1,4147,20180103112000000,enterlong
SSE.ETF.510300,0,4144.8,20180103130500000,exitlong
SSE.ETF.510300,-1,4139.8,20180103132000000,entershort
SSE.ETF.510300,0,4121.8,20180103135000000,exitshort
SSE.ETF.510300,1,4125.6,20180103135500000,enterlong
SSE.ETF.510300,0,4131,20180103141500000,exitlong
SSE.ETF.510300,1,4135.2,20180103142000000,enterlong
SSE.ETF.510300,0,4133,20180103143000000,exitlong
SSE.ETF.510300,-1,4129,20180103143500000,entershort
SSE.ETF.510300,0,4121.2,20180103145000000,exitshort
SSE.ETF.510300,1,4120.4,20180104093500000,enterlong
SSE.ETF.510300,0,4123.8,20180104094000000,exitlong
SSE.ETF.510300,-1,4118,20180104094500000,entershort
SSE.ETF.510300,0,4123.4,20180104095000000,exitshort
SSE.ETF.510300,1,4126,20180104095500000,enterlong
SSE.ETF.510300,0,4121.4,20180104100000000,exitlong
SSE.ETF.510300,-1,4118.4,20180104100500000,entershort
SSE.ETF.510300,0,4121.4,20180104101000000,exitshort
SSE.ETF.510300,1,4125.6,20180104101500000,enterlong
SSE.ETF.510300,0,4124.4,20180104102000000,exitlong
SSE.ETF.510300,-1,4124.4,20180104102500000,entershort
SSE.ETF.510300,0,4126.8,20180104103000000,exitshort
SSE.ETF.510300,-1,4122.4,20180104103500000,entershort
SSE.ETF.510300,0,4124,20180104104500000,exitshort
SSE.ETF.510300,1,4128.8,20180104105500000,enterlong
SSE.ETF.510300,0,4127,20180104111000000,exitlong
SSE.ETF.510300,1,4129.8,20180104111500000,enterlong
SSE.ETF.510300,0,4131.8,20180104132500000,exitlong
SSE.ETF.510300,-1,4130.6,20180104133000000,entershort
SSE.ETF.510300,0,4134.8,20180104133500000,exitshort
SSE.ETF.510300,1,4137.4,20180104134000000,enterlong
SSE.ETF.510300,0,4138.2,20180104134500000,exitlong
SSE.ETF.510300,1,4141.6,20180104135000000,enterlong
SSE.ETF.510300,0,4139.2,20180104135500000,exitlong
SSE.ETF.510300,-1,4130.2,20180104140000000,entershort
SSE.ETF.510300,0,4126.2,20180104141000000,exitshort
SSE.ETF.510300,1,4130.2,20180104142000000,enterlong
SSE.ETF.510300,0,4128,20180104143000000,exitlong
SSE.ETF.510300,-1,4126.6,20180104143500000,entershort
SSE.ETF.510300,0,4131.8,20180104144000000,exitshort
SSE.ETF.510300,1,4135.8,20180104150000000,enterlong
SSE.ETF.510300,0,4130.8,20180105093500000,exitlong
SSE.ETF.510300,1,4134,20180105094000000,enterlong
SSE.ETF.510300,0,4136,20180105095500000,exitlong
SSE.ETF.510300,1,4136,20180105100000000,enterlong
SSE.ETF.510300,0,4133.8,20180105100500000,exitlong
SSE.ETF.510300,-1,4131.6,20180105101000000,entershort
SSE.ETF.510300,0,4130.2,20180105102000000,exitshort
SSE.ETF.510300,1,4133,20180105102500000,enterlong
SSE.ETF.510300,0,4129.2,20180105103500000,exitlong
SSE.ETF.510300,1,4131.4,20180105104500000,enterlong
SSE.ETF.510300,0,4130,20180105105000000,exitlong
SSE.ETF.510300,1,4137.8,20180105105500000,enterlong
SSE.ETF.510300,0,4135.8,20180105110000000,exitlong
SSE.ETF.510300,-1,4135.6,20180105110500000,entershort
SSE.ETF.510300,0,4134,20180105112000000,exitshort
SSE.ETF.510300,1,4134.4,20180105112500000,enterlong
SSE.ETF.510300,0,4139.6,20180105130500000,exitlong
SSE.ETF.510300,1,4140.2,20180105131000000,enterlong
SSE.ETF.510300,0,4142.4,20180105132000000,exitlong
SSE.ETF.510300,1,4142.6,20180105133000000,enterlong
SSE.ETF.510300,0,4140.2,20180105133500000,exitlong
SSE.ETF.510300,1,4140,20180105134000000,enterlong
SSE.ETF.510300,0,4138.2,20180105135000000,exitlong
SSE.ETF.510300,-1,4137.6,20180105135500000,entershort
SSE.ETF.510300,0,4139,20180105140500000,exitshort
SSE.ETF.510300,1,4141,20180105141500000,enterlong
SSE.ETF.510300,0,4141,20180105142500000,exitlong
SSE.ETF.510300,1,4143.8,20180105143000000,enterlong
SSE.ETF.510300,0,4148,20180105144000000,exitlong
SSE.ETF.510300,-1,4144.6,20180105145000000,entershort
SSE.ETF.510300,0,4148.2,20180105150000000,exitshort
SSE.ETF.510300,1,4148.6,20180108093500000,enterlong
SSE.ETF.510300,0,4144.2,20180108094000000,exitlong
