code,time,direct,action,price,qty,tag,fee,barno
SSE.ETF.510300,201801020940,LONG,OPEN,4070,1,enterlong,0,1
SSE.ETF.510300,201801020950,LONG,CLOSE,4066.8,1,exitlong,0,3
SSE.ETF.510300,201801020955,LONG,OPEN,4074.8,1,enterlong,0,4
SSE.ETF.510300,201801021010,LONG,CLOSE,4067.8,1,exitlong,0,7
SSE.ETF.510300,201801021020,LONG,OPEN,4071.8,1,enterlong,0,9
SSE.ETF.510300,201801021100,LONG,CLOSE,4085,1,exitlong,0,17
SSE.ETF.510300,201801021115,LONG,OPEN,4091.6,1,enterlong,0,20
SSE.ETF.510300,201801021305,LONG,CLOSE,4088.4,1,exitlong,0,24
SSE.ETF.510300,201801021355,SHORT,OPEN,4090,1,entershort,0,34
SSE.ETF.510300,201801021410,SHORT,CLOSE,4088.2,1,exitshort,0,37
SSE.ETF.510300,201801021420,SHORT,OPEN,4084.8,1,entershort,0,39
SSE.ETF.510300,201801021425,SHORT,CLOSE,4090.8,1,exitshort,0,40
SSE.ETF.510300,201801021430,LONG,OPEN,4092.2,1,enterlong,0,41
SSE.ETF.510300,201801030940,LONG,CLOSE,4102,1,exitlong,0,49
SSE.ETF.510300,201801030945,LONG,OPEN,4097.8,1,enterlong,0,50
SSE.ETF.510300,201801031000,LONG,CLOSE,4114,1,exitlong,0,53
SSE.ETF.510300,201801031005,SHORT,OPEN,4109.4,1,entershort,0,54
SSE.ETF.510300,201801031010,SHORT,CLOSE,4114,1,exitshort,0,55
SSE.ETF.510300,201801031015,LONG,OPEN,4123.8,1,enterlong,0,56
SSE.ETF.510300,201801031035,LONG,CLOSE,4134.4,1,exitlong,0,60
SSE.ETF.510300,201801031040,LONG,OPEN,4144,1,enterlong,0,61
SSE.ETF.510300,201801031115,LONG,CLOSE,4139.6,1,exitlong,0,68
SSE.ETF.510300,201801031125,LONG,OPEN,4147,1,enterlong,0,70
SSE.ETF.510300,201801031310,LONG,CLOSE,4145,1,exitlong,0,73
SSE.ETF.510300,201801031325,SHORT,OPEN,4139.4,1,entershort,0,76
SSE.ETF.510300,201801031355,SHORT,CLOSE,4121.4,1,exitshort,0,82
SSE.ETF.510300,201801031400,LONG,OPEN,4125.2,1,enterlong,0,83
SSE.ETF.510300,201801031420,LONG,CLOSE,4131,1,exitlong,0,87
SSE.ETF.510300,201801031425,LONG,OPEN,4135.4,1,enterlong,0,88
SSE.ETF.510300,201801031435,LONG,CLOSE,4133,1,exitlong,0,90
SSE.ETF.510300,201801031440,SHORT,OPEN,4128,1,entershort,0,91
SSE.ETF.510300,201801031455,SHORT,CLOSE,4121.8,1,exitshort,0,94
SSE.ETF.510300,201801040940,LONG,OPEN,4120.6,1,enterlong,0,97
SSE.ETF.510300,201801040945,LONG,CLOSE,4123.8,1,exitlong,0,98
SSE.ETF.510300,201801040950,SHORT,OPEN,4117.4,1,entershort,0,99
SSE.ETF.510300,201801040955,SHORT,CLOSE,4123.4,1,exitshort,0,100
SSE.ETF.510300,201801041000,LONG,OPEN,4126.2,1,enterlong,0,101
SSE.ETF.510300,201801041005,LONG,CLOSE,4121.4,1,exitlong,0,102
SSE.ETF.510300,201801041010,SHORT,OPEN,4118.4,1,entershort,0,103
SSE.ETF.510300,201801041015,SHORT,CLOSE,4121.4,1,exitshort,0,104
SSE.ETF.510300,201801041020,LONG,OPEN,4125.4,1,enterlong,0,105
SSE.ETF.510300,201801041025,LONG,CLOSE,4124.8,1,exitlong,0,106
SSE.ETF.510300,201801041030,SHORT,OPEN,4124.4,1,entershort,0,107
SSE.ETF.510300,201801041035,SHORT,CLOSE,4126.6,1,exitshort,0,108
SSE.ETF.510300,201801041040,SHORT,OPEN,4122,1,entershort,0,109
SSE.ETF.510300,201801041050,SHORT,CLOSE,4124.8,1,exitshort,0,111
SSE.ETF.510300,201801041100,LONG,OPEN,4128.6,1,enterlong,0,113
SSE.ETF.510300,201801041115,LONG,CLOSE,4127.4,1,exitlong,0,116
SSE.ETF.510300,201801041120,LONG,OPEN,4130,1,enterlong,0,117
SSE.ETF.510300,201801041330,LONG,CLOSE,4131.6,1,exitlong,0,125
SSE.ETF.510300,201801041335,SHORT,OPEN,4130,1,entershort,0,126
SSE.ETF.510300,201801041340,SHORT,CLOSE,4135.2,1,exitshort,0,127
SSE.ETF.510300,201801041345,LONG,OPEN,4137.4,1,enterlong,0,128
SSE.ETF.510300,201801041350,LONG,CLOSE,4138.2,1,exitlong,0,129
SSE.ETF.510300,201801041355,LONG,OPEN,4142.2,1,enterlong,0,130
