date,time,open,high,low,close,volume
2012-05-28,0,2.551,2.607,2.544,2.604,12775187.0
2012-05-29,0,2.602,2.661,2.602,2.644,7149490.0
2012-05-30,0,2.642,2.647,2.633,2.636,2658871.0
2012-05-31,0,2.621,2.645,2.613,2.63,1781559.0
2012-06-01,0,2.629,2.66,2.62,2.63,1793500.0
2012-06-04,0,2.601,2.604,2.555,2.558,5460742.0
2012-06-05,0,2.562,2.572,2.556,2.561,1271674.0
2012-06-06,0,2.563,2.574,2.548,2.559,1369227.0
2012-06-07,0,2.578,2.583,2.536,2.543,3364240.0
2012-06-08,0,2.558,2.56,2.53,2.534,2101822.0
2012-06-11,0,2.543,2.577,2.536,2.564,2254555.0
2012-06-12,0,2.55,2.562,2.538,2.548,1577237.0
2012-06-13,0,2.56,2.588,2.55,2.585,1881335.0
2012-06-14,0,2.58,2.598,2.571,2.574,1525546.0
2012-06-15,0,2.582,2.594,2.557,2.584,1598352.0
2012-06-18,0,2.589,2.608,2.588,2.592,1321265.0
2012-06-19,0,2.59,2.59,2.572,2.573,1050116.0
2012-06-20,0,2.58,2.587,2.57,2.57,1192773.0
2012-06-21,0,2.563,2.564,2.517,2.53,1792241.0
2012-06-25,0,2.527,2.527,2.476,2.48,2314811.0
2012-06-26,0,2.472,2.485,2.462,2.48,1852289.0
2012-06-27,0,2.478,2.493,2.47,2.471,1513657.0
2012-06-28,0,2.48,2.486,2.455,2.457,1695739.0
2012-06-29,0,2.451,2.488,2.448,2.485,1972042.0
2012-07-02,0,2.495,2.495,2.476,2.485,1862222.0
2012-07-03,0,2.488,2.516,2.482,2.489,1469031.0
2012-07-04,0,2.494,2.504,2.484,2.489,1103364.0
2012-07-05,0,2.479,2.479,2.452,2.461,2087739.0
2012-07-06,0,2.466,2.512,2.452,2.501,1757978.0
2012-07-09,0,2.489,2.499,2.448,2.451,1648643.0
2012-07-10,0,2.449,2.453,2.438,2.441,2041959.0
2012-07-11,0,2.438,2.458,2.435,2.452,1692976.0
2012-07-12,0,2.446,2.487,2.437,2.474,2660444.0
2012-07-13,0,2.473,2.496,2.471,2.478,1778904.0
2012-07-16,0,2.481,2.482,2.437,2.438,2273611.0
2012-07-17,0,2.437,2.449,2.431,2.443,2585328.0
2012-07-18,0,2.441,2.451,2.406,2.443,3152959.0
2012-07-19,0,2.441,2.473,2.437,2.451,3380439.0
2012-07-20,0,2.445,2.451,2.427,2.433,2702978.0
2012-07-23,0,2.411,2.411,2.392,2.403,1856885.0
2012-07-24,0,2.397,2.423,2.395,2.408,2304236.0
2012-07-25,0,2.4,2.414,2.39,2.393,1389067.0
2012-07-26,0,2.395,2.407,2.38,2.382,2548959.0
2012-07-27,0,2.389,2.396,2.377,2.385,3724685.0
2012-07-30,0,2.389,2.399,2.372,2.377,2303206.0
2012-07-31,0,2.378,2.385,2.366,2.371,4214983.0
2012-08-01,0,2.372,2.401,2.372,2.389,2615555.0
2012-08-02,0,2.386,2.389,2.359,2.371,2087258.0
2012-08-03,0,2.375,2.386,2.368,2.385,1737366.0
2012-08-06,0,2.383,2.42,2.382,2.416,3144257.0
