date,time,open,high,low,close,volume
2023-12-11,0,0.989,1.0,0.981,1.0,10104783.0
2023-12-12,0,0.998,1.005,0.998,1.004,5137652.0
2023-12-13,0,1.001,1.001,0.985,0.986,2128625.0
2023-12-14,0,0.988,0.995,0.978,0.979,1089696.0
2023-12-15,0,0.981,0.991,0.976,0.979,1092365.0
2023-12-18,0,0.972,0.98,0.968,0.97,1167842.0
2023-12-19,0,0.97,0.974,0.964,0.97,866579.0
2023-12-20,0,0.97,0.971,0.957,0.957,1048555.0
2023-12-21,0,0.955,0.973,0.953,0.972,1403962.0
2023-12-22,0,0.971,0.979,0.964,0.97,1062390.0
2023-12-25,0,0.97,0.975,0.968,0.975,747191.0
2023-12-26,0,0.974,0.974,0.963,0.965,931207.0
2023-12-27,0,0.964,0.971,0.961,0.97,865726.0
2023-12-28,0,0.967,1.001,0.966,0.998,1621096.0
2023-12-29,0,0.994,1.006,0.994,1.005,1924455.0
2024-01-02,0,1.004,1.004,0.986,0.986,892936.0
2024-01-03,0,0.985,0.987,0.972,0.979,1281872.0
2024-01-04,0,0.973,0.976,0.959,0.964,1114855.0
2024-01-05,0,0.963,0.972,0.953,0.957,1677973.0
2024-01-08,0,0.957,0.961,0.944,0.945,1100335.0
2024-01-09,0,0.951,0.952,0.941,0.947,1107417.0
2024-01-10,0,0.941,0.954,0.938,0.943,1268117.0
2024-01-11,0,0.943,0.959,0.94,0.953,959410.0
2024-01-12,0,0.949,0.956,0.946,0.946,847777.0
2024-01-15,0,0.943,0.95,0.936,0.943,2204469.0
2024-01-16,0,0.939,0.95,0.938,0.95,2029896.0
2024-01-17,0,0.948,0.948,0.927,0.927,825428.0
2024-01-18,0,0.927,0.944,0.914,0.942,815907.0
2024-01-19,0,0.941,0.947,0.931,0.94,774316.0
2024-01-22,0,0.941,0.943,0.917,0.924,638534.0
2024-01-23,0,0.924,0.935,0.915,0.93,471602.0
2024-01-24,0,0.93,0.941,0.912,0.939,621359.0
2024-01-25,0,0.939,0.952,0.931,0.949,583569.0
2024-01-26,0,0.956,0.956,0.939,0.943,423954.0
2024-01-29,0,0.939,0.947,0.926,0.929,529633.0
2024-01-30,0,0.924,0.925,0.906,0.907,553388.0
2024-01-31,0,0.906,0.912,0.897,0.902,585920.0
2024-02-01,0,0.897,0.918,0.895,0.909,522502.0
2024-02-02,0,0.909,0.912,0.874,0.896,606539.0
2024-02-05,0,0.88,0.922,0.875,0.909,778943.0
2024-02-06,0,0.908,0.946,0.9,0.945,492940.0
2024-02-07,0,0.95,0.959,0.938,0.957,668906.0
2024-02-08,0,0.961,0.972,0.959,0.962,449497.0
2024-02-19,0,0.971,0.979,0.964,0.973,498675.0
2024-02-20,0,0.973,0.976,0.965,0.973,445707.0
2024-02-21,0,0.969,0.997,0.966,0.985,531775.0
2024-02-22,0,0.98,0.99,0.98,0.988,374453.0
2024-02-23,0,0.991,0.994,0.982,0.986,445715.0
2024-02-26,0,0.985,0.993,0.983,0.985,451380.0
2024-02-27,0,0.976,1.007,0.976,1.007,1298380.0
2024-02-28,0,1.006,1.015,0.99,0.99,1314629.0
2024-02-29,0,0.989,1.018,0.988,1.017,1312512.0
2024-03-01,0,1.015,1.03,1.011,1.026,1350611.0
2024-03-04,0,1.025,1.033,1.018,1.023,450588.0
2024-03-05,0,1.02,1.03,1.014,1.03,901049.0
2024-03-06,0,1.03,1.032,1.018,1.023,292958.0
2024-03-07,0,1.02,1.029,1.012,1.013,286988.0
2024-03-08,0,1.014,1.02,1.006,1.019,283638.0
2024-03-11,0,1.018,1.048,1.018,1.043,1222097.0
2024-03-12,0,1.043,1.06,1.042,1.057,985908.0
2024-03-13,0,1.058,1.059,1.049,1.05,326077.0
2024-03-14,0,1.047,1.06,1.042,1.047,882005.0
2024-03-15,0,1.042,1.049,1.032,1.047,301448.0
2024-03-18,0,1.046,1.06,1.046,1.06,334167.0
2024-03-19,0,1.06,1.065,1.055,1.057,203270.0
2024-03-20,0,1.055,1.059,1.052,1.056,196827.0
2024-03-21,0,1.057,1.063,1.053,1.054,331101.0
2024-03-22,0,1.05,1.055,1.04,1.044,267927.0
2024-03-25,0,1.044,1.052,1.036,1.037,271336.0
2024-03-26,0,1.038,1.048,1.038,1.046,318455.0
2024-03-27,0,1.046,1.046,1.028,1.029,300029.0
2024-03-28,0,1.027,1.048,1.024,1.036,296918.0
2024-03-29,0,1.036,1.041,1.03,1.037,239065.0
2024-04-01,0,1.037,1.07,1.037,1.068,351188.0
2024-04-02,0,1.07,1.07,1.056,1.06,222790.0
2024-04-03,0,1.06,1.06,1.052,1.058,250689.0
2024-04-08,0,1.058,1.058,1.041,1.041,484633.0
2024-04-09,0,1.04,1.043,1.034,1.04,241309.0
2024-04-10,0,1.038,1.038,1.018,1.024,194664.0
2024-04-11,0,1.018,1.029,1.018,1.024,256605.0
2024-04-12,0,1.024,1.028,1.01,1.013,156153.0
2024-04-15,0,1.012,1.039,1.012,1.036,281513.0
2024-04-16,0,1.036,1.037,1.027,1.028,294038.0
2024-04-17,0,1.028,1.042,1.025,1.042,247949.0
2024-04-18,0,1.041,1.05,1.034,1.04,179699.0
2024-04-19,0,1.034,1.036,1.02,1.028,199183.0
2024-04-22,0,1.024,1.036,1.024,1.03,219211.0
2024-04-23,0,1.029,1.032,1.019,1.023,172336.0
2024-04-24,0,1.019,1.026,1.016,1.024,188326.0
2024-04-25,0,1.016,1.032,1.016,1.027,139028.0
2024-04-26,0,1.027,1.051,1.026,1.05,191221.0
