date,time,open,high,low,close,volume
2015-09-07,0,1386.96,1427.16,1357.91,1366.65,22145191.0
2015-09-08,0,1355.98,1422.11,1338.38,1417.84,18948967.0
2015-09-09,0,1429.74,1474.78,1422.33,1464.19,28282598.0
2015-09-10,0,1442.34,1468.96,1435.04,1440.11,20764916.0
2015-09-11,0,1435.46,1454.72,1423.41,1443.71,16694345.0
2015-09-14,0,1455.74,1462.09,1342.6,1345.98,21987283.0
2015-09-15,0,1313.29,1337.83,1271.18,1274.93,18487350.0
2015-09-16,0,1283.8,1365.41,1276.82,1361.59,20588390.0
2015-09-17,0,1363.91,1406.47,1347.53,1348.38,26133962.0
2015-09-18,0,1360.5,1374.84,1341.07,1364.61,18487075.0
2015-09-21,0,1351.71,1416.02,1345.23,1416.02,20893572.0
2015-09-22,0,1420.17,1435.84,1403.97,1420.41,23295874.0
2015-09-23,0,1395.48,1428.53,1392.51,1412.17,26075969.0
2015-09-24,0,1418.94,1435.3,1409.22,1428.09,22783640.0
2015-09-25,0,1420.32,1426.33,1369.27,1380.43,21662722.0
2015-09-28,0,1382.51,1405.14,1362.79,1403.58,14119663.0
2015-09-29,0,1380.72,1392.7,1366.46,1374.39,15264128.0
2015-09-30,0,1382.16,1390.29,1367.05,1384.19,13094531.0
2015-10-08,0,1425.07,1448.59,1415.67,1439.55,20999481.0
2015-10-09,0,1439.94,1474.8,1437.68,1468.77,23932054.0
2015-10-12,0,1476.79,1538.24,1476.79,1524.68,33027202.0
2015-10-13,0,1512.63,1546.5,1507.62,1542.8,27762362.0
2015-10-14,0,1541.95,1556.76,1526.71,1529.79,29291501.0
2015-10-15,0,1524.75,1573.32,1523.97,1573.32,28270567.0
2015-10-16,0,1586.98,1596.91,1565.9,1594.35,33769163.0
2015-10-19,0,1601.73,1605.63,1567.52,1586.73,31628852.0
2015-10-20,0,1577.92,1605.28,1573.72,1605.09,27847673.0
2015-10-21,0,1600.31,1603.2,1491.94,1496.4,35402006.0
2015-10-22,0,1492.06,1541.73,1483.78,1541.3,26175354.0
2015-10-23,0,1547.81,1593.14,1540.3,1584.73,31609121.0
2015-10-26,0,1610.71,1624.45,1592.48,1622.31,36527455.0
2015-10-27,0,1607.12,1634.63,1554.09,1626.78,33114587.0
2015-10-28,0,1618.61,1648.71,1594.42,1601.76,31254881.0
2015-10-29,0,1613.94,1628.18,1586.35,1609.1,28340146.0
2015-10-30,0,1601.61,1613.65,1568.46,1589.75,27754649.0
2015-11-02,0,1557.84,1598.7,1543.03,1547.61,24856733.0
2015-11-03,0,1556.37,1564.84,1530.58,1544.59,19046870.0
2015-11-04,0,1555.67,1621.57,1555.67,1621.57,27945956.0
2015-11-05,0,1623.22,1637.71,1607.88,1618.98,36637164.0
2015-11-06,0,1622.42,1663.54,1622.42,1661.18,31657281.0
2015-11-09,0,1653.91,1697.48,1639.84,1687.51,36048480.0
2015-11-10,0,1684.8,1707.59,1669.46,1690.75,33508646.0
2015-11-11,0,1693.86,1717.75,1684.42,1717.74,32757695.0
2015-11-12,0,1724.26,1728.37,1686.13,1714.3,34443515.0
2015-11-13,0,1696.47,1713.19,1670.01,1690.24,32183104.0
2015-11-16,0,1659.71,1733.27,1657.36,1733.27,27060216.0
2015-11-17,0,1752.75,1759.34,1709.7,1711.93,38376133.0
2015-11-18,0,1711.59,1720.14,1672.87,1675.99,27970707.0
2015-11-19,0,1682.43,1723.16,1678.31,1723.16,28064316.0
2015-11-20,0,1727.9,1755.09,1723.93,1746.4,34561510.0
2015-11-23,0,1748.2,1755.52,1718.03,1724.18,30622046.0
2015-11-24,0,1725.81,1733.17,1704.88,1733.17,22475074.0
2015-11-25,0,1737.78,1764.52,1730.88,1764.52,28437434.0
2015-11-26,0,1770.57,1772.56,1738.23,1740.26,30484697.0
2015-11-27,0,1732.44,1738.42,1607.84,1621.36,32999240.0
2015-11-30,0,1623.47,1641.49,1537.06,1619.8,27930850.0
2015-12-01,0,1619.19,1641.18,1603.98,1621.86,21579564.0
2015-12-02,0,1619.15,1624.1,1571.47,1616.46,23710706.0
2015-12-03,0,1622.19,1652.28,1622.19,1652.28,20731530.0
2015-12-04,0,1645.54,1656.83,1624.83,1634.62,20482751.0
2015-12-07,0,1635.44,1650.05,1623.92,1646.85,18522789.0
2015-12-08,0,1638.23,1638.23,1602.15,1602.55,18999086.0
2015-12-09,0,1594.65,1604.73,1582.14,1596.82,19008708.0
2015-12-10,0,1592.98,1610.86,1588.35,1595.57,18991040.0
2015-12-11,0,1586.56,1593.31,1576.45,1581.06,14625515.0
2015-12-14,0,1562.43,1612.54,1559.06,1612.54,16454174.0
2015-12-15,0,1615.33,1636.93,1615.33,1629.99,19682219.0
2015-12-16,0,1636.24,1645.43,1629.48,1637.12,20285633.0
2015-12-17,0,1649.76,1680.67,1649.29,1680.67,28202737.0
2015-12-18,0,1682.77,1687.49,1664.38,1671.05,26530747.0
2015-12-21,0,1669.41,1691.45,1667.01,1691.45,24537664.0
2015-12-22,0,1697.37,1708.72,1685.18,1708.72,23393782.0
2015-12-23,0,1710.49,1716.58,1686.52,1692.29,25837267.0
2015-12-24,0,1687.4,1691.91,1657.21,1681.8,19052881.0
2015-12-25,0,1686.99,1699.29,1683.89,1697.1,17942704.0
2015-12-28,0,1706.55,1715.95,1668.27,1668.27,24962155.0
2015-12-29,0,1665.31,1680.74,1652.06,1680.74,18984147.0
2015-12-30,0,1685.86,1702.38,1679.68,1699.71,19211072.0
2015-12-31,0,1699.96,1707.86,1678.27,1678.89,19443580.0
2016-01-04,0,1678.63,1681.11,1533.2,1535.21,17681234.0
2016-01-05,0,1460.4,1545.46,1450.38,1511.24,24691637.0
2016-01-06,0,1519.07,1546.3,1504.99,1545.26,18793496.0
2016-01-07,0,1514.73,1514.73,1403.69,1405.79,5255938.0
2016-01-08,0,1444.02,1457.85,1345.17,1415.1,21432654.0
2016-01-11,0,1382.5,1403.86,1313.98,1315.43,19847536.0
2016-01-12,0,1317.08,1337.81,1286.9,1322.49,16030120.0
2016-01-13,0,1329.34,1340.47,1269.82,1269.82,14277610.0
2016-01-14,0,1229.58,1325.25,1227.12,1323.42,17029996.0
2016-01-15,0,1315.09,1329.19,1266.88,1274.44,16960202.0
2016-01-18,0,1247.11,1318.25,1247.11,1302.1,15328571.0
