date,time,open,high,low,close,volume
2017-07-12,0,5.111,6.385,5.111,6.385,98.0
2017-07-13,0,7.15,7.15,7.15,7.15,36.0
2017-07-14,0,7.991,7.991,7.991,7.991,30.0
2017-07-17,0,8.92,8.92,8.92,8.92,461.0
2017-07-18,0,9.942,9.942,9.942,9.942,347.0
2017-07-19,0,11.066,11.066,11.066,11.066,283.0
2017-07-20,0,12.302,12.302,12.302,12.302,746.0
2017-07-21,0,13.657,13.657,13.657,13.657,1692.0
2017-07-24,0,15.15,15.15,14.159,14.604,176659.0
2017-07-25,0,15.163,15.589,14.611,14.786,117331.0
2017-07-26,0,14.284,15.778,14.178,15.665,116163.0
2017-07-27,0,15.445,16.587,14.799,15.803,118715.0
2017-07-28,0,15.414,16.656,15.326,15.414,92138.0
2017-07-31,0,15.238,15.884,14.962,15.351,61590.0
2017-08-01,0,15.37,15.552,14.41,14.912,63062.0
2017-08-02,0,14.786,15.119,14.692,15.05,41497.0
2017-08-03,0,14.975,16.681,14.956,16.324,97065.0
2017-08-04,0,15.978,16.261,15.244,15.251,70673.0
2017-08-07,0,15.226,15.533,14.573,14.642,47440.0
2017-08-08,0,14.661,15.131,14.46,15.1,32372.0
2017-08-09,0,15.131,15.916,15.037,15.269,34682.0
2017-08-10,0,15.2,15.288,14.724,14.862,26073.0
2017-08-11,0,14.912,15.778,14.912,15.345,43258.0
2017-08-14,0,15.401,16.857,15.313,16.449,56064.0
2017-08-15,0,16.311,17.24,16.273,16.794,52354.0
2017-08-16,0,16.756,18.413,16.631,17.673,64433.0
2017-08-17,0,17.547,18.783,17.434,18.262,53503.0
2017-08-18,0,17.93,19.649,17.88,19.304,52946.0
2017-08-21,0,20.057,21.362,19.498,21.362,54775.0
2017-08-22,0,22.058,23.552,21.312,21.462,88954.0
2017-08-23,0,21.218,22.253,20.703,21.362,73279.0
2017-08-24,0,20.935,21.625,19.097,19.241,85942.0
2017-08-25,0,19.166,20.672,18.871,19.95,63822.0
2017-08-28,0,20.044,22.033,19.605,21.876,67741.0
2017-08-29,0,21.324,22.755,20.967,20.967,81436.0
2017-08-30,0,20.433,20.785,19.429,19.994,53699.0
2017-08-31,0,20.151,21.569,20.019,21.443,44245.0
2017-09-01,0,21.563,21.814,20.559,21.456,45676.0
2017-09-04,0,21.218,23.119,21.092,21.406,49808.0
2017-09-05,0,21.876,23.677,21.437,23.677,30269.0
2017-09-06,0,26.174,26.174,25.898,26.174,39756.0
2017-09-07,0,28.923,28.923,28.923,28.923,8679.0
2017-09-08,0,29.468,31.495,29.18,30.893,116613.0
2017-09-11,0,27.724,29.845,27.674,29.406,98036.0
2017-09-12,0,28.408,32.166,28.352,31.363,108224.0
2017-09-13,0,28.715,30.215,28.715,28.998,78630.0
2017-09-14,0,29.45,30.886,29.155,29.205,72332.0
2017-09-15,0,27.586,28.835,26.331,26.858,69041.0
2017-09-18,0,27.511,29.669,27.304,29.669,41496.0
2017-09-19,0,31.978,32.762,31.162,32.279,107630.0
