code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.STK.002049,LONG,201807171500,32.439,201807191500,32.439,1,0,1.707,-0.122,0,enterlong,exitlong,1,3
SZSE.STK.002049,LONG,201807231500,32.789,201807251500,33.532,1,0.743,1.335,-0.136,0.743,enterlong,exitlong,5,7
SZSE.STK.002049,LONG,201807261500,34.339,201807271500,32.867,1,-1.472,0.164,-1.257,-0.729,enterlong,exitlong,8,9
SZSE.STK.002049,LONG,201807301500,33.332,201807311500,31.939,1,-1.393,0.171,-1.822,-2.122,enterlong,exitlong,10,11
SZSE.STK.002049,LONG,201808011500,31.582,201808031500,30.789,1,-0.793,0.814,-1.858,-2.915,enterlong,exitlong,12,14
SZSE.STK.002049,LONG,201808071500,29.76,201808091500,29.532,1,-0.228,0.943,-0.45,-3.143,enterlong,exitlong,16,18
SZSE.STK.002049,LONG,201808101500,31.067,201808141500,32.56,1,1.493,2.229,-0.007,-1.65,enterlong,exitlong,19,21
SZSE.STK.002049,LONG,201808161500,32.039,201808201500,30.432,1,-1.607,1.085,-1.672,-3.257,enterlong,exitlong,23,25
SZSE.STK.002049,LONG,201808211500,31.21,201808221500,30.982,1,-0.228,0.422,-0.607,-3.485,enterlong,exitlong,26,27
SZSE.STK.002049,LONG,201808231500,30.332,201808271500,31.582,1,1.25,1.521,0,-2.235,enterlong,exitlong,28,30
SZSE.STK.002049,LONG,201808281500,32.424,201808291500,32.332,1,-0.092,0.372,-0.371,-2.327,enterlong,exitlong,31,32
SZSE.STK.002049,LONG,201809031500,30.617,201809041500,30.339,1,-0.278,0.107,-1.257,-2.605,enterlong,exitlong,35,36
SZSE.STK.002049,LONG,201809051500,30.539,201809061500,29.232,1,-1.307,0.128,-1.15,-3.912,enterlong,exitlong,37,38
SZSE.STK.002049,LONG,201809071500,29.474,201809101500,27.582,1,-1.892,0.4,-2.035,-5.804,enterlong,exitlong,39,40
SZSE.STK.002049,LONG,201809121500,26.56,201809141500,26.86,1,0.3,0.664,-0.35,-5.504,enterlong,exitlong,42,44
SZSE.STK.002049,LONG,201809191500,25.832,201809251500,26.789,1,0.957,1.214,-0.079,-4.547,enterlong,exitlong,47,50
SZSE.STK.002049,LONG,201809261500,26.724,201809281500,26.582,1,-0.142,0.608,-0.357,-4.689,enterlong,exitlong,51,53
SZSE.STK.002049,LONG,201810091500,24.582,201810111500,24.71,1,0.128,2.628,-0.208,-4.561,enterlong,exitlong,55,57
SZSE.STK.002049,LONG,201810121500,24.546,201810151500,23.974,1,-0.572,0.236,-1.629,-5.133,enterlong,exitlong,58,59
SZSE.STK.002049,LONG,201810181500,21.482,201810311500,21.067,1,-0.415,1.364,-1.679,-5.548,enterlong,exitlong,62,66
SZSE.STK.002049,LONG,201811011500,22.332,201811021500,22.567,1,0.235,0.464,-0.522,-5.313,enterlong,exitlong,67,68
SZSE.STK.002049,LONG,201811051500,23.074,201811061500,22.56,1,-0.514,0.15,-0.764,-5.827,enterlong,exitlong,69,70
SZSE.STK.002049,LONG,201811071500,22.774,201811091500,21.982,1,-0.792,0.5,-0.564,-6.619,enterlong,exitlong,71,73
SZSE.STK.002049,LONG,201811121500,21.76,201811191500,23.86,1,2.1,2.572,-0.036,-4.519,enterlong,exitlong,74,79
SZSE.STK.002049,LONG,201811211500,23.224,201811221500,23.582,1,0.358,0.336,-0.392,-4.161,enterlong,exitlong,81,82
SZSE.STK.002049,LONG,201811261500,22.946,201811271500,22.589,1,-0.357,0.364,-0.9,-4.518,enterlong,exitlong,84,85
SZSE.STK.002049,LONG,201811281500,22.453,201811301500,22.082,1,-0.371,1.279,-0.15,-4.889,enterlong,exitlong,86,88
SZSE.STK.002049,LONG,201812031500,23.167,201812041500,23.31,1,0.143,0.386,-0.278,-4.746,enterlong,exitlong,89,90
SZSE.STK.002049,LONG,201812051500,23.074,201812071500,23.074,1,0,0.493,-0.292,-4.746,enterlong,exitlong,91,93
SZSE.STK.002049,LONG,201812101500,22.817,201812111500,22.496,1,-0.321,0.15,-0.443,-5.067,enterlong,exitlong,94,95
SZSE.STK.002049,LONG,201812121500,22.717,201812131500,22.553,1,-0.164,0.065,-0.35,-5.231,enterlong,exitlong,96,97
SZSE.STK.002049,LONG,201812141500,22.539,201812171500,21.574,1,-0.965,0.007,-0.886,-6.196,enterlong,exitlong,98,99
SZSE.STK.002049,LONG,201812181500,21.553,201812201500,21.21,1,-0.343,0.279,-0.429,-6.539,enterlong,exitlong,100,102
SZSE.STK.002049,LONG,201812211500,21.224,201812261500,21.467,1,0.243,0.408,-0.492,-6.296,enterlong,exitlong,103,106
SZSE.STK.002049,LONG,201901021500,20.374,201901091500,21.432,1,1.058,1.45,-0.578,-5.238,enterlong,exitlong,109,114
SZSE.STK.002049,LONG,201901101500,21.453,201901151500,21.046,1,-0.407,0.436,-0.421,-5.645,enterlong,exitlong,115,118
SZSE.STK.002049,LONG,201901161500,21.467,201901181500,21.074,1,-0.393,0.579,-0.521,-6.038,enterlong,exitlong,119,121
SZSE.STK.002049,LONG,201901211500,21.332,201901231500,21.417,1,0.085,0.685,-0.072,-5.953,enterlong,exitlong,122,124
SZSE.STK.002049,LONG,201901251500,22.553,201901281500,22.439,1,-0.114,0.443,-0.443,-6.067,enterlong,exitlong,126,127
SZSE.STK.002049,LONG,201901291500,22.01,201901301500,21.26,1,-0.75,0,-0.986,-6.817,enterlong,exitlong,128,129
SZSE.STK.002049,LONG,201901311500,21.017,201902011500,21.003,1,-0.014,0.443,-0.257,-6.831,enterlong,exitlong,130,131
SZSE.STK.002049,LONG,201902111500,21.746,201902201500,24.617,1,2.871,3.386,-0.057,-3.96,enterlong,exitlong,132,139
SZSE.STK.002049,LONG,201902221500,23.903,201902261500,26.674,1,2.771,3.079,-0.021,-1.189,enterlong,exitlong,141,143
SZSE.STK.002049,LONG,201902271500,26.26,201902281500,26.253,1,-0.007,0.757,-0.443,-1.196,enterlong,exitlong,144,145
SZSE.STK.002049,LONG,201903011500,26.653,201903041500,26.932,1,0.279,0.179,-0.629,-0.917,enterlong,exitlong,146,147
SZSE.STK.002049,LONG,201903051500,26.51,201903071500,28.31,1,1.8,3.057,-0.143,0.883,enterlong,exitlong,148,150
SZSE.STK.002049,LONG,201903081500,28.867,201903111500,31.474,1,2.607,2.686,-0.585,3.49,enterlong,exitlong,151,152
SZSE.STK.002049,LONG,201903131500,31.01,201903141500,28.46,1,-2.55,0.007,-2.071,0.94,enterlong,exitlong,154,155
SZSE.STK.002049,LONG,201903191500,28.167,201903211500,28.139,1,-0.028,1.136,-0.55,0.912,enterlong,exitlong,158,160
SZSE.STK.002049,LONG,201903221500,29.017,201903251500,28.51,1,-0.507,0.7,-0.421,0.405,enterlong,exitlong,161,162
SZSE.STK.002049,LONG,201903261500,29.332,201903271500,27.832,1,-1.5,0.392,-1.815,-1.095,enterlong,exitlong,163,164
SZSE.STK.002049,LONG,201903281500,27.91,201904011500,33.189,1,5.279,3.836,0,4.184,enterlong,exitlong,165,167
SZSE.STK.002049,LONG,201904031500,34.732,201904041500,35.653,1,0.921,0.414,-0.929,5.105,enterlong,exitlong,169,170
SZSE.STK.002049,LONG,201904161500,31.01,201904171500,32.724,1,1.714,1.464,-0.514,6.819,enterlong,exitlong,177,178
SZSE.STK.002049,LONG,201904221500,31.789,201904231500,31.689,1,-0.1,0.5,-0.557,6.719,enterlong,exitlong,181,182
SZSE.STK.002049,LONG,201904251500,31.224,201904261500,29.496,1,-1.728,0.429,-1.871,4.991,enterlong,exitlong,184,185
SZSE.STK.002049,LONG,201904291500,29.789,201904301500,29.082,1,-0.707,0.121,-1.279,4.284,enterlong,exitlong,186,187
