date,closeprofit,positionprofit,dynbalance,fee
20180716,0.00,0.00,0.00,0.00
20180717,0.00,1.27,1.27,0.00
20180718,0.00,0.28,0.28,0.00
20180719,0.00,0.00,0.00,0.00
20180720,0.00,0.00,0.00,0.00
20180723,0.00,0.68,0.68,0.00
20180724,0.00,0.86,0.86,0.00
20180725,0.74,0.00,0.74,0.00
20180726,0.74,-1.17,-0.43,0.00
20180727,-0.73,0.00,-0.73,0.00
20180730,-0.73,-1.45,-2.18,0.00
20180731,-2.12,0.00,-2.12,0.00
20180801,-2.12,-0.42,-2.54,0.00
20180802,-2.12,-0.75,-2.87,0.00
20180803,-2.92,0.00,-2.92,0.00
20180806,-2.92,0.00,-2.92,0.00
20180807,-2.92,0.89,-2.02,0.00
20180808,-2.92,-0.18,-3.09,0.00
20180809,-3.14,0.00,-3.14,0.00
20180810,-3.14,0.64,-2.51,0.00
20180813,-3.14,1.94,-1.21,0.00
20180814,-1.65,0.00,-1.65,0.00
20180815,-1.65,0.00,-1.65,0.00
20180816,-1.65,-0.12,-1.77,0.00
20180817,-1.65,-1.42,-3.07,0.00
20180820,-3.26,0.00,-3.26,0.00
20180821,-3.26,0.03,-3.23,0.00
20180822,-3.49,0.00,-3.49,0.00
20180823,-3.49,0.92,-2.56,0.00
20180824,-3.49,1.04,-2.45,0.00
20180827,-2.24,0.00,-2.24,0.00
20180828,-2.24,-0.10,-2.34,0.00
20180829,-2.33,0.00,-2.33,0.00
20180830,-2.33,0.00,-2.33,0.00
20180831,-2.33,0.00,-2.33,0.00
20180903,-2.33,-0.07,-2.40,0.00
20180904,-2.61,0.00,-2.61,0.00
20180905,-2.61,-1.02,-3.63,0.00
20180906,-3.91,0.00,-3.91,0.00
20180907,-3.91,-1.93,-5.85,0.00
20180910,-5.80,0.00,-5.80,0.00
20180911,-5.80,0.00,-5.80,0.00
20180912,-5.80,0.11,-5.69,0.00
20180913,-5.80,0.27,-5.53,0.00
20180914,-5.50,0.00,-5.50,0.00
20180917,-5.50,0.00,-5.50,0.00
20180918,-5.50,0.00,-5.50,0.00
20180919,-5.50,0.68,-4.82,0.00
20180920,-5.50,0.40,-5.10,0.00
20180921,-5.50,0.99,-4.51,0.00
20180925,-4.55,0.00,-4.55,0.00
20180926,-4.55,0.24,-4.31,0.00
20180927,-4.55,-0.34,-4.88,0.00
20180928,-4.69,0.00,-4.69,0.00
20181008,-4.69,0.00,-4.69,0.00
20181009,-4.69,0.11,-4.58,0.00
20181010,-4.69,1.18,-3.51,0.00
20181011,-4.56,0.00,-4.56,0.00
20181012,-4.56,-0.54,-5.10,0.00
20181015,-5.13,0.00,-5.13,0.00
20181016,-5.13,0.00,-5.13,0.00
20181017,-5.13,0.00,-5.13,0.00
20181018,-5.13,-0.41,-5.55,0.00
20181026,-5.13,0.04,-5.09,0.00
20181029,-5.13,0.26,-4.87,0.00
20181030,-5.13,-0.46,-5.60,0.00
20181031,-5.55,0.00,-5.55,0.00
20181101,-5.55,-0.25,-5.80,0.00
20181102,-5.31,0.00,-5.31,0.00
20181105,-5.31,-0.24,-5.56,0.00
20181106,-5.83,0.00,-5.83,0.00
20181107,-5.83,-0.06,-5.89,0.00
20181108,-5.83,-0.56,-6.38,0.00
20181109,-6.62,0.00,-6.62,0.00
20181112,-6.62,0.74,-5.88,0.00
20181113,-6.62,1.02,-5.60,0.00
20181114,-6.62,1.93,-4.69,0.00
20181115,-6.62,2.02,-4.60,0.00
20181116,-6.62,2.32,-4.30,0.00
20181119,-4.52,0.00,-4.52,0.00
20181120,-4.52,0.00,-4.52,0.00
20181121,-4.52,0.16,-4.35,0.00
20181122,-4.16,0.00,-4.16,0.00
20181123,-4.16,0.00,-4.16,0.00
20181126,-4.16,-0.51,-4.67,0.00
20181127,-4.52,0.00,-4.52,0.00
20181128,-4.52,0.61,-3.90,0.00
20181129,-4.52,-0.13,-4.65,0.00
20181130,-4.89,0.00,-4.89,0.00
20181203,-4.89,0.20,-4.69,0.00
20181204,-4.75,0.00,-4.75,0.00
20181205,-4.75,0.11,-4.64,0.00
20181206,-4.75,-0.03,-4.77,0.00
20181207,-4.75,0.00,-4.75,0.00
20181210,-4.75,-0.39,-5.14,0.00
20181211,-5.07,0.00,-5.07,0.00
20181212,-5.07,-0.26,-5.32,0.00
20181213,-5.23,0.00,-5.23,0.00
20181214,-5.23,-0.89,-6.12,0.00
20181217,-6.20,0.00,-6.20,0.00
20181218,-6.20,-0.01,-6.21,0.00
20181219,-6.20,-0.29,-6.49,0.00
20181220,-6.54,0.00,-6.54,0.00
20181221,-6.54,0.00,-6.54,0.00
20181224,-6.54,0.39,-6.15,0.00
20181225,-6.54,0.27,-6.27,0.00
20181226,-6.30,0.00,-6.30,0.00
20181227,-6.30,0.00,-6.30,0.00
20181228,-6.30,0.00,-6.30,0.00
20190102,-6.30,-0.04,-6.34,0.00
20190103,-6.30,-0.02,-6.32,0.00
20190104,-6.30,0.41,-5.89,0.00
20190107,-6.30,1.28,-5.02,0.00
20190108,-6.30,0.99,-5.31,0.00
20190109,-5.24,0.00,-5.24,0.00
20190110,-5.24,-0.09,-5.33,0.00
20190111,-5.24,0.01,-5.23,0.00
20190114,-5.24,-0.40,-5.64,0.00
20190115,-5.65,0.00,-5.65,0.00
20190116,-5.65,0.05,-5.60,0.00
20190117,-5.65,-0.40,-6.05,0.00
20190118,-6.04,0.00,-6.04,0.00
20190121,-6.04,0.59,-5.45,0.00
20190122,-6.04,0.17,-5.87,0.00
20190123,-5.95,0.00,-5.95,0.00
20190124,-5.95,0.00,-5.95,0.00
20190125,-5.95,-0.36,-6.31,0.00
20190128,-6.07,0.00,-6.07,0.00
20190129,-6.07,-0.54,-6.60,0.00
20190130,-6.82,0.00,-6.82,0.00
20190131,-6.82,0.09,-6.73,0.00
20190201,-6.83,0.00,-6.83,0.00
20190211,-6.83,0.79,-6.05,0.00
20190212,-6.83,0.89,-5.95,0.00
20190213,-6.83,2.11,-4.72,0.00
20190214,-6.83,1.86,-4.97,0.00
20190215,-6.83,1.86,-4.97,0.00
20190218,-6.83,2.92,-3.91,0.00
20190219,-6.83,3.01,-3.82,0.00
20190220,-3.96,0.00,-3.96,0.00
20190221,-3.96,0.00,-3.96,0.00
20190222,-3.96,0.82,-3.14,0.00
20190225,-3.96,2.82,-1.14,0.00
20190226,-1.19,0.00,-1.19,0.00
20190227,-1.19,-0.01,-1.20,0.00
20190228,-1.20,0.00,-1.20,0.00
20190301,-1.20,-0.21,-1.41,0.00
20190304,-0.92,0.00,-0.92,0.00
20190305,-0.92,2.62,1.70,0.00
20190306,-0.92,2.12,1.20,0.00
20190307,0.88,0.00,0.88,0.00
20190308,0.88,1.34,2.22,0.00
20190311,3.49,0.00,3.49,0.00
20190312,3.49,0.00,3.49,0.00
20190313,3.49,-1.86,1.63,0.00
20190314,0.94,0.00,0.94,0.00
20190315,0.94,0.00,0.94,0.00
20190318,0.94,0.00,0.94,0.00
20190319,0.94,0.56,1.50,0.00
20190320,0.94,-0.09,0.85,0.00
20190321,0.91,0.00,0.91,0.00
20190322,0.91,0.10,1.01,0.00
20190325,0.40,0.00,0.40,0.00
20190326,0.40,-1.61,-1.20,0.00
20190327,-1.10,0.00,-1.10,0.00
20190328,-1.10,0.91,-0.18,0.00
20190329,-1.10,3.84,2.74,0.00
20190401,4.18,0.00,4.18,0.00
20190402,4.18,0.00,4.18,0.00
20190403,4.18,-0.02,4.16,0.00
20190404,5.10,0.00,5.10,0.00
20190408,5.10,0.00,5.10,0.00
20190409,5.10,0.00,5.10,0.00
20190410,5.10,0.00,5.10,0.00
20190411,5.10,0.00,5.10,0.00
20190412,5.10,0.00,5.10,0.00
20190415,5.10,0.00,5.10,0.00
20190416,5.10,1.39,6.49,0.00
20190417,6.82,0.00,6.82,0.00
20190418,6.82,0.00,6.82,0.00
20190419,6.82,0.00,6.82,0.00
20190422,6.82,-0.21,6.61,0.00
20190423,6.72,0.00,6.72,0.00
20190424,6.72,0.00,6.72,0.00
20190425,6.72,-1.72,5.00,0.00
20190426,4.99,0.00,4.99,0.00
20190429,4.99,-0.89,4.10,0.00
20190430,4.28,0.00,4.28,0.00
