date,code,volume,closeprofit,dynprofit
20180717,SZSE.STK.002049,1,0.00,1.27
20180718,SZSE.STK.002049,1,0.00,0.28
20180723,SZSE.STK.002049,1,0.00,0.68
20180724,SZSE.STK.002049,1,0.00,0.86
20180726,SZSE.STK.002049,1,0.74,-1.17
20180730,SZSE.STK.002049,1,-0.73,-1.45
20180801,SZSE.STK.002049,1,-2.12,-0.42
20180802,SZSE.STK.002049,1,-2.12,-0.75
20180807,SZSE.STK.002049,1,-2.92,0.89
20180808,SZSE.STK.002049,1,-2.92,-0.18
20180810,SZSE.STK.002049,1,-3.14,0.64
20180813,SZSE.STK.002049,1,-3.14,1.94
20180816,SZSE.STK.002049,1,-1.65,-0.12
20180817,SZSE.STK.002049,1,-1.65,-1.42
20180821,SZSE.STK.002049,1,-3.26,0.03
20180823,SZSE.STK.002049,1,-3.49,0.92
20180824,SZSE.STK.002049,1,-3.49,1.04
20180828,SZSE.STK.002049,1,-2.24,-0.10
20180903,SZSE.STK.002049,1,-2.33,-0.07
20180905,SZSE.STK.002049,1,-2.61,-1.02
20180907,SZSE.STK.002049,1,-3.91,-1.93
20180912,SZSE.STK.002049,1,-5.80,0.11
20180913,SZSE.STK.002049,1,-5.80,0.27
20180919,SZSE.STK.002049,1,-5.50,0.68
20180920,SZSE.STK.002049,1,-5.50,0.40
20180921,SZSE.STK.002049,1,-5.50,0.99
20180926,SZSE.STK.002049,1,-4.55,0.24
20180927,SZSE.STK.002049,1,-4.55,-0.34
20181009,SZSE.STK.002049,1,-4.69,0.11
20181010,SZSE.STK.002049,1,-4.69,1.18
20181012,SZSE.STK.002049,1,-4.56,-0.54
20181018,SZSE.STK.002049,1,-5.13,-0.41
20181026,SZSE.STK.002049,1,-5.13,0.04
20181029,SZSE.STK.002049,1,-5.13,0.26
20181030,SZSE.STK.002049,1,-5.13,-0.46
20181101,SZSE.STK.002049,1,-5.55,-0.25
20181105,SZSE.STK.002049,1,-5.31,-0.24
20181107,SZSE.STK.002049,1,-5.83,-0.06
20181108,SZSE.STK.002049,1,-5.83,-0.56
20181112,SZSE.STK.002049,1,-6.62,0.74
20181113,SZSE.STK.002049,1,-6.62,1.02
20181114,SZSE.STK.002049,1,-6.62,1.93
20181115,SZSE.STK.002049,1,-6.62,2.02
20181116,SZSE.STK.002049,1,-6.62,2.32
20181121,SZSE.STK.002049,1,-4.52,0.16
20181126,SZSE.STK.002049,1,-4.16,-0.51
20181128,SZSE.STK.002049,1,-4.52,0.61
20181129,SZSE.STK.002049,1,-4.52,-0.13
20181203,SZSE.STK.002049,1,-4.89,0.20
20181205,SZSE.STK.002049,1,-4.75,0.11
20181206,SZSE.STK.002049,1,-4.75,-0.03
20181210,SZSE.STK.002049,1,-4.75,-0.39
20181212,SZSE.STK.002049,1,-5.07,-0.26
20181214,SZSE.STK.002049,1,-5.23,-0.89
20181218,SZSE.STK.002049,1,-6.20,-0.01
20181219,SZSE.STK.002049,1,-6.20,-0.29
20181221,SZSE.STK.002049,1,-6.54,0.00
20181224,SZSE.STK.002049,1,-6.54,0.39
20181225,SZSE.STK.002049,1,-6.54,0.27
20190102,SZSE.STK.002049,1,-6.30,-0.04
20190103,SZSE.STK.002049,1,-6.30,-0.02
20190104,SZSE.STK.002049,1,-6.30,0.41
20190107,SZSE.STK.002049,1,-6.30,1.28
20190108,SZSE.STK.002049,1,-6.30,0.99
20190110,SZSE.STK.002049,1,-5.24,-0.09
20190111,SZSE.STK.002049,1,-5.24,0.01
20190114,SZSE.STK.002049,1,-5.24,-0.40
20190116,SZSE.STK.002049,1,-5.65,0.05
20190117,SZSE.STK.002049,1,-5.65,-0.40
20190121,SZSE.STK.002049,1,-6.04,0.59
20190122,SZSE.STK.002049,1,-6.04,0.17
20190125,SZSE.STK.002049,1,-5.95,-0.36
20190129,SZSE.STK.002049,1,-6.07,-0.54
20190131,SZSE.STK.002049,1,-6.82,0.09
20190211,SZSE.STK.002049,1,-6.83,0.79
20190212,SZSE.STK.002049,1,-6.83,0.89
20190213,SZSE.STK.002049,1,-6.83,2.11
20190214,SZSE.STK.002049,1,-6.83,1.86
20190215,SZSE.STK.002049,1,-6.83,1.86
20190218,SZSE.STK.002049,1,-6.83,2.92
20190219,SZSE.STK.002049,1,-6.83,3.01
20190222,SZSE.STK.002049,1,-3.96,0.82
20190225,SZSE.STK.002049,1,-3.96,2.82
20190227,SZSE.STK.002049,1,-1.19,-0.01
20190301,SZSE.STK.002049,1,-1.20,-0.21
20190305,SZSE.STK.002049,1,-0.92,2.62
20190306,SZSE.STK.002049,1,-0.92,2.12
20190308,SZSE.STK.002049,1,0.88,1.34
20190313,SZSE.STK.002049,1,3.49,-1.86
20190319,SZSE.STK.002049,1,0.94,0.56
20190320,SZSE.STK.002049,1,0.94,-0.09
20190322,SZSE.STK.002049,1,0.91,0.10
20190326,SZSE.STK.002049,1,0.40,-1.61
20190328,SZSE.STK.002049,1,-1.10,0.91
20190329,SZSE.STK.002049,1,-1.10,3.84
20190403,SZSE.STK.002049,1,4.18,-0.02
20190416,SZSE.STK.002049,1,5.10,1.39
20190422,SZSE.STK.002049,1,6.82,-0.21
20190425,SZSE.STK.002049,1,6.72,-1.72
20190429,SZSE.STK.002049,1,4.99,-0.89
