code,target,sigprice,gentime,usertag
SZSE.STK.002049,1,32.767,20180716150000000,enterlong
SZSE.STK.002049,0,32.724,20180718150000000,exitlong
SZSE.STK.002049,1,32.974,20180720150000000,enterlong
SZSE.STK.002049,0,33.646,20180724150000000,exitlong
SZSE.STK.002049,1,34.51,20180725150000000,enterlong
SZSE.STK.002049,0,33.167,20180726150000000,exitlong
SZSE.STK.002049,1,33.153,20180727150000000,enterlong
SZSE.STK.002049,0,31.882,20180730150000000,exitlong
SZSE.STK.002049,1,31.389,20180731150000000,enterlong
SZSE.STK.002049,0,30.832,20180802150000000,exitlong
SZSE.STK.002049,1,29.453,20180806150000000,enterlong
SZSE.STK.002049,0,29.582,20180808150000000,exitlong
SZSE.STK.002049,1,31.274,20180809150000000,enterlong
SZSE.STK.002049,0,33.003,20180813150000000,exitlong
SZSE.STK.002049,1,32.51,20180815150000000,enterlong
SZSE.STK.002049,0,30.617,20180817150000000,exitlong
SZSE.STK.002049,1,31.224,20180820150000000,enterlong
SZSE.STK.002049,0,31.239,20180821150000000,exitlong
SZSE.STK.002049,1,30.517,20180822150000000,enterlong
SZSE.STK.002049,0,31.367,20180824150000000,exitlong
SZSE.STK.002049,1,32.439,20180827150000000,enterlong
SZSE.STK.002049,0,32.324,20180828150000000,exitlong
SZSE.STK.002049,1,30.617,20180831150000000,enterlong
SZSE.STK.002049,0,30.546,20180903150000000,exitlong
SZSE.STK.002049,1,31.139,20180904150000000,enterlong
SZSE.STK.002049,0,29.517,20180905150000000,exitlong
SZSE.STK.002049,1,29.582,20180906150000000,enterlong
SZSE.STK.002049,0,27.539,20180907150000000,exitlong
SZSE.STK.002049,1,26.503,20180911150000000,enterlong
SZSE.STK.002049,0,26.832,20180913150000000,exitlong
SZSE.STK.002049,1,25.867,20180918150000000,enterlong
SZSE.STK.002049,0,26.824,20180921150000000,exitlong
SZSE.STK.002049,1,26.832,20180925150000000,enterlong
SZSE.STK.002049,0,26.389,20180927150000000,exitlong
SZSE.STK.002049,1,24.424,20181008150000000,enterlong
SZSE.STK.002049,0,25.76,20181010150000000,exitlong
SZSE.STK.002049,1,25.51,20181011150000000,enterlong
SZSE.STK.002049,0,24.003,20181012150000000,exitlong
SZSE.STK.002049,1,21.832,20181017150000000,enterlong
SZSE.STK.002049,0,21.017,20181030150000000,exitlong
SZSE.STK.002049,1,21.639,20181031150000000,enterlong
SZSE.STK.002049,0,22.082,20181101150000000,exitlong
SZSE.STK.002049,1,23.224,20181102150000000,enterlong
SZSE.STK.002049,0,22.832,20181105150000000,exitlong
SZSE.STK.002049,1,22.853,20181106150000000,enterlong
SZSE.STK.002049,0,22.217,20181108150000000,exitlong
SZSE.STK.002049,1,21.767,20181109150000000,enterlong
SZSE.STK.002049,0,24.082,20181116150000000,exitlong
SZSE.STK.002049,1,23.724,20181120150000000,enterlong
SZSE.STK.002049,0,23.389,20181121150000000,exitlong
SZSE.STK.002049,1,23.046,20181123150000000,enterlong
SZSE.STK.002049,0,22.439,20181126150000000,exitlong
SZSE.STK.002049,1,22.617,20181127150000000,enterlong
SZSE.STK.002049,0,22.324,20181129150000000,exitlong
SZSE.STK.002049,1,22.432,20181130150000000,enterlong
SZSE.STK.002049,0,23.367,20181203150000000,exitlong
SZSE.STK.002049,1,23.589,20181204150000000,enterlong
SZSE.STK.002049,0,23.046,20181206150000000,exitlong
SZSE.STK.002049,1,22.917,20181207150000000,enterlong
SZSE.STK.002049,0,22.424,20181210150000000,exitlong
SZSE.STK.002049,1,22.589,20181211150000000,enterlong
SZSE.STK.002049,0,22.46,20181212150000000,exitlong
SZSE.STK.002049,1,22.582,20181213150000000,enterlong
SZSE.STK.002049,0,21.653,20181214150000000,exitlong
SZSE.STK.002049,1,21.689,20181217150000000,enterlong
SZSE.STK.002049,0,21.26,20181219150000000,exitlong
SZSE.STK.002049,1,21.31,20181220150000000,enterlong
SZSE.STK.002049,0,21.496,20181225150000000,exitlong
SZSE.STK.002049,1,20.224,20181228150000000,enterlong
SZSE.STK.002049,0,21.36,20190108150000000,exitlong
SZSE.STK.002049,1,21.603,20190109150000000,enterlong
SZSE.STK.002049,0,21.053,20190114150000000,exitlong
SZSE.STK.002049,1,21.474,20190115150000000,enterlong
SZSE.STK.002049,0,21.067,20190117150000000,exitlong
SZSE.STK.002049,1,21.324,20190118150000000,enterlong
SZSE.STK.002049,0,21.503,20190122150000000,exitlong
SZSE.STK.002049,1,22.532,20190124150000000,enterlong
SZSE.STK.002049,0,22.196,20190125150000000,exitlong
SZSE.STK.002049,1,22.103,20190128150000000,enterlong
SZSE.STK.002049,0,21.474,20190129150000000,exitlong
SZSE.STK.002049,1,20.974,20190130150000000,enterlong
SZSE.STK.002049,0,21.103,20190131150000000,exitlong
SZSE.STK.002049,1,21.682,20190201150000000,enterlong
SZSE.STK.002049,0,24.76,20190219150000000,exitlong
SZSE.STK.002049,1,23.903,20190221150000000,enterlong
SZSE.STK.002049,0,26.724,20190225150000000,exitlong
SZSE.STK.002049,1,26.496,20190226150000000,enterlong
SZSE.STK.002049,0,26.246,20190227150000000,exitlong
SZSE.STK.002049,1,26.61,20190228150000000,enterlong
SZSE.STK.002049,0,26.439,20190301150000000,exitlong
SZSE.STK.002049,1,26.874,20190304150000000,enterlong
SZSE.STK.002049,0,28.632,20190306150000000,exitlong
SZSE.STK.002049,1,28.646,20190307150000000,enterlong
SZSE.STK.002049,0,30.203,20190308150000000,exitlong
SZSE.STK.002049,1,31.382,20190312150000000,enterlong
SZSE.STK.002049,0,29.153,20190313150000000,exitlong
SZSE.STK.002049,1,28.26,20190318150000000,enterlong
SZSE.STK.002049,0,28.074,20190320150000000,exitlong
SZSE.STK.002049,1,28.782,20190321150000000,enterlong
SZSE.STK.002049,0,29.117,20190322150000000,exitlong
SZSE.STK.002049,1,29.489,20190325150000000,enterlong
SZSE.STK.002049,0,27.724,20190326150000000,exitlong
SZSE.STK.002049,1,28.117,20190327150000000,enterlong
SZSE.STK.002049,0,31.746,20190329150000000,exitlong
SZSE.STK.002049,1,35.46,20190402150000000,enterlong
SZSE.STK.002049,0,34.71,20190403150000000,exitlong
SZSE.STK.002049,1,31.482,20190415150000000,enterlong
SZSE.STK.002049,0,32.396,20190416150000000,exitlong
SZSE.STK.002049,1,31.824,20190419150000000,enterlong
SZSE.STK.002049,0,31.582,20190422150000000,exitlong
SZSE.STK.002049,1,31.56,20190424150000000,enterlong
SZSE.STK.002049,0,29.503,20190425150000000,exitlong
SZSE.STK.002049,1,29.639,20190426150000000,enterlong
SZSE.STK.002049,0,28.896,20190429150000000,exitlong
SZSE.STK.002049,1,29.289,20190430150000000,enterlong
